"","V1","V2","V3","V4"
"temp",-2,900332,933848,-2
"temp",13,900606,927699,12
"temp",12,900724,930854,8
"temp",13,900782,933617,8
"temp",-2,900804,933878,12
"temp",11,900843,933611,13
"temp",14,900848,916771,9
"temp",-2,900854,918077,12
"temp",8,901022,933598,NA
"temp",-2,901121,922505,8
"temp",12,901123,932558,9
"temp",NA,901501,927939,8
"temp",13,901816,931588,8
"temp",14,902519,926200,-2
"temp",12,902782,933941,8
"temp",-2,902792,933944,14
"temp",12,902973,933847,8
"temp",8,903009,933648,8
"temp",13,903030,927781,-2
"temp",13,903065,909423,12
"temp",14,903096,914610,14
"temp",7,903130,933408,-2
"temp",-2,903390,920870,13
"temp",5,903786,931168,13
"temp",13,904075,932915,8
"temp",9,904104,932894,12
"temp",7,904321,933833,12
"temp",13,904331,917246,-3
"temp",14,904348,933811,-2
"temp",13,904672,932990,14
"temp",-2,904826,933810,9
"temp",13,904922,924623,9
"temp",NA,905064,931665,9
"temp",14,905599,909944,8
"temp",-2,905745,933404,2
"temp",14,905845,925843,13
"temp",-2,906286,926661,13
"temp",14,906368,933536,12
"temp",NA,906398,929280,-2
"temp",14,906495,901961,-2
"temp",3,906969,922595,8
"temp",8,908001,932737,4
"temp",-2,908321,933503,-2
"temp",12,908456,932357,-2
"temp",8,908835,925186,-2
"temp",8,909458,921648,9
"temp",9,909493,903614,9
"temp",14,909989,925745,5
"temp",-2,910028,920926,-2
"temp",12,910066,914779,14
"temp",14,910151,932873,13
"temp",NA,910166,928765,-2
"temp",13,910424,933565,NA
"temp",13,910533,933513,13
"temp",13,910616,932613,13
"temp",12,910863,933706,-2
"temp",13,911237,933325,13
"temp",13,911261,931722,11
"temp",13,911266,931275,13
"temp",-2,911698,915861,11
"temp",14,911952,933398,8
"temp",13,912193,933671,13
"temp",13,912843,933919,14
"temp",12,912970,908587,-2
"temp",14,913077,933653,-2
"temp",12,913359,933272,-3
"temp",9,913496,933257,-2
"temp",14,913681,911107,-2
"temp",NA,913790,933148,9
"temp",8,913829,933202,13
"temp",13,913844,932612,9
"temp",13,913914,928404,NA
"temp",9,914225,900842,9
"temp",14,914538,933193,14
"temp",12,914635,903775,-2
"temp",-2,914826,928977,14
"temp",13,914849,932617,9
"temp",8,915068,931890,14
"temp",9,915607,922261,14
"temp",13,915837,933467,13
"temp",14,915911,933161,-2
"temp",-2,916011,933623,8
"temp",-2,916114,924915,9
"temp",-2,916180,933462,NA
"temp",14,916198,930048,10
"temp",12,916346,933171,14
"temp",13,916622,933138,8
"temp",13,916670,916945,13
"temp",13,916756,911546,10
"temp",11,917003,933593,9
"temp",8,917114,917885,14
"temp",-2,917781,933080,-3
"temp",-2,917853,933578,11
"temp",9,917875,926377,-2
"temp",11,917903,933079,14
"temp",13,918091,933103,13
"temp",13,918253,933573,14
"temp",8,918339,933015,NA
"temp",14,918487,933786,14
"temp",8,918550,922032,9
"temp",NA,918618,926303,-2
"temp",9,918719,905210,-2
"temp",12,918882,933012,13
"temp",9,918969,933766,NA
"temp",13,919090,917937,8
"temp",9,919319,904702,8
"temp",-2,919715,933400,NA
"temp",13,920114,933373,13
"temp",14,920119,926795,13
"temp",14,920274,932978,13
"temp",8,920511,922616,13
"temp",-2,920527,922331,-2
"temp",-2,920527,932971,-2
"temp",11,920685,933508,14
"temp",-2,920736,932953,12
"temp",-2,921281,933726,14
"temp",12,921287,933780,-2
"temp",14,921355,933511,NA
"temp",14,921387,933104,9
"temp",11,921798,921633,13
"temp",13,921850,929502,9
"temp",13,922059,930622,13
"temp",14,922423,924080,-2
"temp",13,922449,917574,9
"temp",9,922662,933364,-2
"temp",12,922792,933479,8
"temp",13,923140,933255,-3
"temp",8,923304,909702,-2
"temp",NA,923342,932952,-2
"temp",12,923571,902278,14
"temp",NA,923640,911736,13
"temp",12,923755,933155,9
"temp",14,923803,927686,11
"temp",-2,923874,907524,9
"temp",11,923901,932936,12
"temp",12,923974,915981,-2
"temp",13,924070,920470,13
"temp",13,924077,931409,12
"temp",8,924386,929656,12
"temp",13,924395,902281,14
"temp",9,924456,918309,10
"temp",9,924526,932873,13
"temp",14,924546,928526,-2
"temp",14,924589,918373,12
"temp",13,925041,932818,12
"temp",NA,925153,918062,9
"temp",8,925220,929596,9
"temp",11,925253,928417,10
"temp",9,925396,932995,14
"temp",13,925741,904629,8
"temp",9,926328,925577,10
"temp",14,926422,931697,12
"temp",8,926753,923897,NA
"temp",12,926884,933310,13
"temp",14,927009,932758,-2
"temp",14,927403,929466,13
"temp",14,927467,923432,-2
"temp",-2,927567,929179,9
"temp",8,928101,932874,10
"temp",8,928184,913598,4
"temp",NA,928715,925970,7
"temp",-2,928719,932623,12
"temp",-2,928817,933390,12
"temp",-2,929168,933387,-2
"temp",13,929174,932747,12
"temp",9,929180,931643,13
"temp",-3,929673,914982,-2
"temp",-2,930368,932737,4
"temp",12,930497,933130,13
"temp",14,930711,933366,9
"temp",12,930725,932671,8
"temp",8,930764,932720,-2
"temp",14,930921,933079,14
"temp",14,931019,933362,13
"temp",9,931021,933281,13
"temp",13,931077,918578,-2
"temp",13,931299,909679,10
"temp",12,931368,933679,9
"temp",12,931390,925719,9
"temp",12,931492,932685,13
"temp",13,931619,909181,8
"temp",13,932166,921334,-2
"temp",9,932240,901285,14
"temp",5,932316,932705,8
"temp",13,932322,932780,8
"temp",8,932857,932647,14
"temp",8,933172,932646,13
"temp",-2,933220,933318,13
"temp",8,933413,933940,-2
"temp",8,933783,933312,13
