"","V1","V2","V3","V4"
"temp",2,900332,933848,0
"temp",7,900606,927699,-6
"temp",0,900724,930854,1
"temp",2,900782,933617,NA
"temp",0,900804,933878,0
"temp",1,900843,933611,NA
"temp",1,900848,916771,0
"temp",1,900854,918077,0
"temp",0,901022,933598,NA
"temp",0,901121,922505,0
"temp",3,901123,932558,1
"temp",NA,901501,927939,-6
"temp",1,901816,931588,-6
"temp",1,902519,926200,0
"temp",0,902782,933941,1
"temp",0,902792,933944,NA
"temp",5,902973,933847,1
"temp",1,903009,933648,7
"temp",0,903030,927781,2
"temp",1,903065,909423,0
"temp",0,903096,914610,3
"temp",7,903130,933408,0
"temp",NA,903390,920870,NA
"temp",1,903786,931168,0
"temp",0,904075,932915,0
"temp",3,904104,932894,7
"temp",NA,904321,933833,3
"temp",0,904331,917246,NA
"temp",0,904348,933811,1
"temp",5,904672,932990,NA
"temp",NA,904826,933810,0
"temp",0,904922,924623,2
"temp",NA,905064,931665,0
"temp",1,905599,909944,2
"temp",NA,905745,933404,0
"temp",0,905845,925843,0
"temp",NA,906286,926661,0
"temp",NA,906368,933536,1
"temp",NA,906398,929280,2
"temp",1,906495,901961,0
"temp",5,906969,922595,2
"temp",4,908001,932737,1
"temp",0,908321,933503,1
"temp",7,908456,932357,1
"temp",1,908835,925186,3
"temp",0,909458,921648,0
"temp",0,909493,903614,0
"temp",0,909989,925745,1
"temp",0,910028,920926,0
"temp",7,910066,914779,0
"temp",NA,910151,932873,0
"temp",NA,910166,928765,0
"temp",0,910424,933565,NA
"temp",0,910533,933513,1
"temp",0,910616,932613,2
"temp",5,910863,933706,0
"temp",1,911237,933325,NA
"temp",0,911261,931722,6
"temp",2,911266,931275,0
"temp",2,911698,915861,0
"temp",7,911952,933398,0
"temp",0,912193,933671,0
"temp",1,912843,933919,0
"temp",0,912970,908587,0
"temp",0,913077,933653,0
"temp",2,913359,933272,NA
"temp",0,913496,933257,0
"temp",1,913681,911107,NA
"temp",NA,913790,933148,7
"temp",1,913829,933202,8
"temp",NA,913844,932612,1
"temp",NA,913914,928404,NA
"temp",2,914225,900842,NA
"temp",2,914538,933193,0
"temp",0,914635,903775,0
"temp",0,914826,928977,0
"temp",NA,914849,932617,2
"temp",3,915068,931890,0
"temp",1,915607,922261,0
"temp",2,915837,933467,NA
"temp",NA,915911,933161,0
"temp",3,916011,933623,0
"temp",0,916114,924915,NA
"temp",NA,916180,933462,NA
"temp",3,916198,930048,2
"temp",0,916346,933171,0
"temp",0,916622,933138,0
"temp",0,916670,916945,8
"temp",1,916756,911546,0
"temp",0,917003,933593,0
"temp",0,917114,917885,0
"temp",0,917781,933080,NA
"temp",1,917853,933578,NA
"temp",0,917875,926377,NA
"temp",6,917903,933079,0
"temp",0,918091,933103,2
"temp",0,918253,933573,0
"temp",1,918339,933015,NA
"temp",2,918487,933786,NA
"temp",1,918550,922032,1
"temp",NA,918618,926303,1
"temp",1,918719,905210,2
"temp",0,918882,933012,0
"temp",NA,918969,933766,NA
"temp",0,919090,917937,5
"temp",2,919319,904702,NA
"temp",0,919715,933400,NA
"temp",3,920114,933373,2
"temp",0,920119,926795,0
"temp",0,920274,932978,NA
"temp",11,920511,922616,1
"temp",2,920527,922331,2
"temp",2,920527,932971,NA
"temp",NA,920685,933508,0
"temp",0,920736,932953,0
"temp",0,921281,933726,5
"temp",0,921287,933780,0
"temp",NA,921355,933511,NA
"temp",0,921387,933104,0
"temp",4,921798,921633,0
"temp",2,921850,929502,NA
"temp",4,922059,930622,0
"temp",0,922423,924080,0
"temp",NA,922449,917574,0
"temp",3,922662,933364,2
"temp",6,922792,933479,0
"temp",0,923140,933255,NA
"temp",4,923304,909702,0
"temp",NA,923342,932952,0
"temp",1,923571,902278,NA
"temp",NA,923640,911736,0
"temp",1,923755,933155,0
"temp",2,923803,927686,1
"temp",2,923874,907524,NA
"temp",NA,923901,932936,NA
"temp",0,923974,915981,7
"temp",0,924070,920470,5
"temp",2,924077,931409,0
"temp",0,924386,929656,0
"temp",NA,924395,902281,0
"temp",0,924456,918309,NA
"temp",NA,924526,932873,0
"temp",0,924546,928526,0
"temp",0,924589,918373,5
"temp",NA,925041,932818,1
"temp",NA,925153,918062,0
"temp",0,925220,929596,1
"temp",0,925253,928417,0
"temp",0,925396,932995,0
"temp",0,925741,904629,0
"temp",0,926328,925577,0
"temp",0,926422,931697,2
"temp",0,926753,923897,NA
"temp",0,926884,933310,0
"temp",0,927009,932758,-3
"temp",0,927403,929466,2
"temp",1,927467,923432,0
"temp",0,927567,929179,0
"temp",1,928101,932874,0
"temp",0,928184,913598,3
"temp",NA,928715,925970,3
"temp",0,928719,932623,-6
"temp",1,928817,933390,0
"temp",0,929168,933387,0
"temp",0,929174,932747,NA
"temp",1,929180,931643,5
"temp",NA,929673,914982,0
"temp",1,930368,932737,1
"temp",0,930497,933130,0
"temp",0,930711,933366,2
"temp",2,930725,932671,4
"temp",NA,930764,932720,0
"temp",0,930921,933079,0
"temp",0,931019,933362,0
"temp",4,931021,933281,4
"temp",2,931077,918578,4
"temp",0,931299,909679,0
"temp",0,931368,933679,1
"temp",4,931390,925719,1
"temp",0,931492,932685,1
"temp",7,931619,909181,0
"temp",5,932166,921334,0
"temp",0,932240,901285,0
"temp",0,932316,932705,0
"temp",NA,932322,932780,1
"temp",5,932857,932647,0
"temp",2,933172,932646,0
"temp",2,933220,933318,0
"temp",0,933413,933940,0
"temp",0,933783,933312,2
