"","V1","V2","V3","V4"
"temp",2,900332,933848,0
"temp",0,900606,927699,30
"temp",7,900724,930854,11
"temp",10,900782,933617,NA
"temp",8,900804,933878,1
"temp",0,900843,933611,NA
"temp",3,900848,916771,1
"temp",0,900854,918077,1
"temp",14,901022,933598,NA
"temp",8,901121,922505,4
"temp",8,901123,932558,0
"temp",NA,901501,927939,18
"temp",9,901816,931588,30
"temp",11,902519,926200,3
"temp",0,902782,933941,3
"temp",0,902792,933944,NA
"temp",3,902973,933847,1
"temp",10,903009,933648,10
"temp",20,903030,927781,4
"temp",2,903065,909423,8
"temp",4,903096,914610,9
"temp",7,903130,933408,7
"temp",NA,903390,920870,NA
"temp",13,903786,931168,0
"temp",4,904075,932915,0
"temp",3,904104,932894,2
"temp",NA,904321,933833,6
"temp",0,904331,917246,NA
"temp",0,904348,933811,2
"temp",6,904672,932990,NA
"temp",NA,904826,933810,1
"temp",11,904922,924623,3
"temp",NA,905064,931665,1
"temp",3,905599,909944,2
"temp",NA,905745,933404,5
"temp",6,905845,925843,2
"temp",NA,906286,926661,0
"temp",NA,906368,933536,0
"temp",NA,906398,929280,2
"temp",4,906495,901961,9
"temp",10,906969,922595,14
"temp",0,908001,932737,12
"temp",0,908321,933503,3
"temp",0,908456,932357,2
"temp",0,908835,925186,8
"temp",7,909458,921648,7
"temp",7,909493,903614,2
"temp",0,909989,925745,2
"temp",0,910028,920926,0
"temp",11,910066,914779,8
"temp",NA,910151,932873,1
"temp",NA,910166,928765,12
"temp",7,910424,933565,NA
"temp",0,910533,933513,0
"temp",0,910616,932613,2
"temp",5,910863,933706,2
"temp",2,911237,933325,NA
"temp",8,911261,931722,3
"temp",4,911266,931275,2
"temp",10,911698,915861,0
"temp",1,911952,933398,0
"temp",7,912193,933671,0
"temp",2,912843,933919,0
"temp",1,912970,908587,0
"temp",1,913077,933653,0
"temp",12,913359,933272,NA
"temp",10,913496,933257,0
"temp",7,913681,911107,NA
"temp",NA,913790,933148,13
"temp",1,913829,933202,0
"temp",NA,913844,932612,0
"temp",NA,913914,928404,NA
"temp",4,914225,900842,NA
"temp",0,914538,933193,0
"temp",0,914635,903775,6
"temp",0,914826,928977,0
"temp",NA,914849,932617,1
"temp",11,915068,931890,17
"temp",7,915607,922261,4
"temp",4,915837,933467,NA
"temp",NA,915911,933161,2
"temp",17,916011,933623,0
"temp",2,916114,924915,NA
"temp",NA,916180,933462,NA
"temp",24,916198,930048,3
"temp",7,916346,933171,3
"temp",0,916622,933138,3
"temp",0,916670,916945,2
"temp",10,916756,911546,6
"temp",2,917003,933593,0
"temp",13,917114,917885,0
"temp",0,917781,933080,NA
"temp",2,917853,933578,NA
"temp",0,917875,926377,NA
"temp",12,917903,933079,7
"temp",0,918091,933103,2
"temp",0,918253,933573,2
"temp",1,918339,933015,NA
"temp",0,918487,933786,NA
"temp",0,918550,922032,2
"temp",NA,918618,926303,9
"temp",2,918719,905210,0
"temp",0,918882,933012,3
"temp",NA,918969,933766,NA
"temp",0,919090,917937,10
"temp",4,919319,904702,NA
"temp",4,919715,933400,NA
"temp",7,920114,933373,0
"temp",2,920119,926795,5
"temp",0,920274,932978,NA
"temp",11,920511,922616,0
"temp",2,920527,922331,4
"temp",2,920527,932971,NA
"temp",NA,920685,933508,1
"temp",4,920736,932953,3
"temp",11,921281,933726,6
"temp",9,921287,933780,1
"temp",NA,921355,933511,NA
"temp",8,921387,933104,7
"temp",8,921798,921633,0
"temp",6,921850,929502,NA
"temp",0,922059,930622,6
"temp",0,922423,924080,0
"temp",NA,922449,917574,7
"temp",0,922662,933364,4
"temp",4,922792,933479,0
"temp",0,923140,933255,NA
"temp",8,923304,909702,16
"temp",NA,923342,932952,0
"temp",2,923571,902278,NA
"temp",NA,923640,911736,0
"temp",2,923755,933155,6
"temp",4,923803,927686,11
"temp",9,923874,907524,NA
"temp",NA,923901,932936,NA
"temp",3,923974,915981,6
"temp",0,924070,920470,0
"temp",10,924077,931409,1
"temp",0,924386,929656,0
"temp",NA,924395,902281,7
"temp",20,924456,918309,NA
"temp",NA,924526,932873,1
"temp",3,924546,928526,3
"temp",4,924589,918373,0
"temp",NA,925041,932818,0
"temp",NA,925153,918062,0
"temp",9,925220,929596,2
"temp",7,925253,928417,5
"temp",0,925396,932995,1
"temp",8,925741,904629,0
"temp",0,926328,925577,3
"temp",0,926422,931697,18
"temp",10,926753,923897,NA
"temp",2,926884,933310,0
"temp",22,927009,932758,30
"temp",7,927403,929466,5
"temp",10,927467,923432,0
"temp",7,927567,929179,1
"temp",12,928101,932874,11
"temp",0,928184,913598,5
"temp",NA,928715,925970,10
"temp",18,928719,932623,0
"temp",0,928817,933390,2
"temp",0,929168,933387,3
"temp",6,929174,932747,NA
"temp",0,929180,931643,12
"temp",NA,929673,914982,3
"temp",1,930368,932737,12
"temp",0,930497,933130,0
"temp",0,930711,933366,0
"temp",12,930725,932671,5
"temp",NA,930764,932720,3
"temp",0,930921,933079,7
"temp",11,931019,933362,1
"temp",2,931021,933281,5
"temp",7,931077,918578,4
"temp",0,931299,909679,4
"temp",12,931368,933679,13
"temp",10,931390,925719,3
"temp",0,931492,932685,8
"temp",6,931619,909181,0
"temp",16,932166,921334,0
"temp",0,932240,901285,10
"temp",0,932316,932705,0
"temp",NA,932322,932780,4
"temp",4,932857,932647,1
"temp",2,933172,932646,6
"temp",8,933220,933318,7
"temp",1,933413,933940,2
"temp",14,933783,933312,0
