"","V1","V2","V3","V4"
"temp",-2,900332,933848,-2
"temp",14,900606,927699,12
"temp",10,900724,930854,8
"temp",13,900782,933617,9
"temp",-2,900804,933878,8
"temp",14,900843,933611,13
"temp",13,900848,916771,14
"temp",-2,900854,918077,14
"temp",13,901022,933598,NA
"temp",-2,901121,922505,14
"temp",13,901123,932558,14
"temp",NA,901501,927939,9
"temp",13,901816,931588,14
"temp",14,902519,926200,-2
"temp",9,902782,933941,12
"temp",-2,902792,933944,13
"temp",13,902973,933847,13
"temp",10,903009,933648,14
"temp",8,903030,927781,-2
"temp",8,903065,909423,8
"temp",12,903096,914610,14
"temp",14,903130,933408,-2
"temp",-2,903390,920870,14
"temp",14,903786,931168,14
"temp",14,904075,932915,8
"temp",9,904104,932894,14
"temp",14,904321,933833,8
"temp",13,904331,917246,-3
"temp",8,904348,933811,-2
"temp",14,904672,932990,14
"temp",-2,904826,933810,12
"temp",12,904922,924623,8
"temp",NA,905064,931665,14
"temp",14,905599,909944,4
"temp",-2,905745,933404,14
"temp",14,905845,925843,14
"temp",-2,906286,926661,13
"temp",14,906368,933536,11
"temp",NA,906398,929280,-2
"temp",14,906495,901961,-2
"temp",14,906969,922595,13
"temp",14,908001,932737,11
"temp",-2,908321,933503,-2
"temp",14,908456,932357,-2
"temp",13,908835,925186,-2
"temp",14,909458,921648,13
"temp",14,909493,903614,14
"temp",14,909989,925745,14
"temp",-2,910028,920926,-2
"temp",12,910066,914779,13
"temp",13,910151,932873,14
"temp",NA,910166,928765,-2
"temp",13,910424,933565,NA
"temp",14,910533,933513,13
"temp",9,910616,932613,14
"temp",13,910863,933706,-2
"temp",13,911237,933325,8
"temp",14,911261,931722,12
"temp",14,911266,931275,13
"temp",-2,911698,915861,14
"temp",13,911952,933398,14
"temp",14,912193,933671,13
"temp",9,912843,933919,8
"temp",14,912970,908587,-2
"temp",14,913077,933653,-2
"temp",14,913359,933272,-3
"temp",14,913496,933257,-2
"temp",13,913681,911107,-2
"temp",NA,913790,933148,14
"temp",8,913829,933202,8
"temp",12,913844,932612,9
"temp",8,913914,928404,NA
"temp",14,914225,900842,13
"temp",14,914538,933193,13
"temp",10,914635,903775,-2
"temp",-2,914826,928977,13
"temp",9,914849,932617,5
"temp",13,915068,931890,14
"temp",8,915607,922261,14
"temp",8,915837,933467,14
"temp",14,915911,933161,-2
"temp",-2,916011,933623,13
"temp",-2,916114,924915,11
"temp",-2,916180,933462,NA
"temp",14,916198,930048,13
"temp",14,916346,933171,13
"temp",14,916622,933138,9
"temp",14,916670,916945,13
"temp",13,916756,911546,13
"temp",13,917003,933593,13
"temp",9,917114,917885,13
"temp",-2,917781,933080,-3
"temp",-2,917853,933578,8
"temp",13,917875,926377,-2
"temp",5,917903,933079,10
"temp",13,918091,933103,14
"temp",13,918253,933573,12
"temp",12,918339,933015,NA
"temp",14,918487,933786,13
"temp",13,918550,922032,14
"temp",NA,918618,926303,-2
"temp",14,918719,905210,-2
"temp",8,918882,933012,14
"temp",12,918969,933766,NA
"temp",13,919090,917937,9
"temp",9,919319,904702,8
"temp",-2,919715,933400,NA
"temp",14,920114,933373,10
"temp",14,920119,926795,14
"temp",14,920274,932978,14
"temp",8,920511,922616,14
"temp",-2,920527,922331,-2
"temp",-2,920527,932971,-2
"temp",12,920685,933508,9
"temp",-2,920736,932953,13
"temp",-2,921281,933726,13
"temp",12,921287,933780,-2
"temp",14,921355,933511,NA
"temp",8,921387,933104,12
"temp",9,921798,921633,13
"temp",14,921850,929502,13
"temp",14,922059,930622,10
"temp",14,922423,924080,-2
"temp",14,922449,917574,13
"temp",9,922662,933364,-2
"temp",12,922792,933479,14
"temp",12,923140,933255,-3
"temp",14,923304,909702,-2
"temp",NA,923342,932952,-2
"temp",14,923571,902278,14
"temp",NA,923640,911736,13
"temp",8,923755,933155,9
"temp",8,923803,927686,11
"temp",-2,923874,907524,12
"temp",12,923901,932936,12
"temp",14,923974,915981,-2
"temp",14,924070,920470,12
"temp",9,924077,931409,14
"temp",14,924386,929656,14
"temp",13,924395,902281,9
"temp",13,924456,918309,14
"temp",14,924526,932873,14
"temp",14,924546,928526,-2
"temp",14,924589,918373,12
"temp",12,925041,932818,11
"temp",NA,925153,918062,9
"temp",9,925220,929596,8
"temp",12,925253,928417,14
"temp",14,925396,932995,14
"temp",14,925741,904629,14
"temp",14,926328,925577,12
"temp",14,926422,931697,13
"temp",9,926753,923897,NA
"temp",8,926884,933310,14
"temp",13,927009,932758,-2
"temp",6,927403,929466,13
"temp",13,927467,923432,-2
"temp",-2,927567,929179,13
"temp",7,928101,932874,8
"temp",14,928184,913598,14
"temp",NA,928715,925970,8
"temp",-2,928719,932623,9
"temp",-2,928817,933390,13
"temp",-2,929168,933387,-2
"temp",10,929174,932747,12
"temp",13,929180,931643,13
"temp",-3,929673,914982,-2
"temp",-2,930368,932737,11
"temp",12,930497,933130,14
"temp",14,930711,933366,14
"temp",12,930725,932671,12
"temp",8,930764,932720,-2
"temp",14,930921,933079,10
"temp",14,931019,933362,14
"temp",14,931021,933281,14
"temp",10,931077,918578,-2
"temp",12,931299,909679,9
"temp",13,931368,933679,8
"temp",13,931390,925719,9
"temp",14,931492,932685,8
"temp",13,931619,909181,14
"temp",14,932166,921334,-2
"temp",13,932240,901285,13
"temp",7,932316,932705,8
"temp",13,932322,932780,12
"temp",12,932857,932647,14
"temp",12,933172,932646,12
"temp",-2,933220,933318,14
"temp",14,933413,933940,-2
"temp",12,933783,933312,14
