"","V1","V2","V3","V4"
"temp",-2,900332,933848,-2
"temp",14,900606,927699,12
"temp",12,900724,930854,8
"temp",8,900782,933617,9
"temp",-2,900804,933878,12
"temp",13,900843,933611,13
"temp",13,900848,916771,14
"temp",-2,900854,918077,14
"temp",14,901022,933598,NA
"temp",-2,901121,922505,7
"temp",14,901123,932558,14
"temp",NA,901501,927939,14
"temp",14,901816,931588,-3
"temp",13,902519,926200,-2
"temp",14,902782,933941,10
"temp",-2,902792,933944,12
"temp",12,902973,933847,14
"temp",9,903009,933648,14
"temp",14,903030,927781,-2
"temp",14,903065,909423,9
"temp",5,903096,914610,13
"temp",14,903130,933408,-2
"temp",-2,903390,920870,14
"temp",12,903786,931168,13
"temp",12,904075,932915,14
"temp",7,904104,932894,14
"temp",14,904321,933833,14
"temp",13,904331,917246,-3
"temp",12,904348,933811,-2
"temp",8,904672,932990,14
"temp",-2,904826,933810,13
"temp",14,904922,924623,14
"temp",NA,905064,931665,13
"temp",9,905599,909944,8
"temp",-2,905745,933404,7
"temp",14,905845,925843,14
"temp",-2,906286,926661,13
"temp",14,906368,933536,14
"temp",NA,906398,929280,-2
"temp",14,906495,901961,-2
"temp",14,906969,922595,13
"temp",13,908001,932737,13
"temp",-2,908321,933503,-2
"temp",8,908456,932357,-2
"temp",14,908835,925186,-2
"temp",14,909458,921648,14
"temp",9,909493,903614,14
"temp",14,909989,925745,14
"temp",-2,910028,920926,-2
"temp",9,910066,914779,14
"temp",7,910151,932873,14
"temp",NA,910166,928765,-2
"temp",14,910424,933565,NA
"temp",4,910533,933513,12
"temp",14,910616,932613,14
"temp",9,910863,933706,-2
"temp",12,911237,933325,8
"temp",14,911261,931722,12
"temp",12,911266,931275,13
"temp",-2,911698,915861,14
"temp",9,911952,933398,14
"temp",13,912193,933671,14
"temp",14,912843,933919,14
"temp",14,912970,908587,-2
"temp",8,913077,933653,-2
"temp",14,913359,933272,-3
"temp",14,913496,933257,-2
"temp",7,913681,911107,-2
"temp",NA,913790,933148,9
"temp",11,913829,933202,2
"temp",13,913844,932612,9
"temp",11,913914,928404,NA
"temp",12,914225,900842,13
"temp",14,914538,933193,14
"temp",12,914635,903775,-2
"temp",-2,914826,928977,14
"temp",13,914849,932617,14
"temp",4,915068,931890,14
"temp",13,915607,922261,9
"temp",10,915837,933467,3
"temp",14,915911,933161,-2
"temp",-2,916011,933623,12
"temp",-2,916114,924915,12
"temp",-2,916180,933462,NA
"temp",6,916198,930048,13
"temp",4,916346,933171,13
"temp",12,916622,933138,9
"temp",14,916670,916945,4
"temp",8,916756,911546,14
"temp",14,917003,933593,14
"temp",4,917114,917885,14
"temp",-2,917781,933080,-3
"temp",-2,917853,933578,8
"temp",14,917875,926377,-2
"temp",2,917903,933079,14
"temp",14,918091,933103,13
"temp",8,918253,933573,14
"temp",9,918339,933015,NA
"temp",3,918487,933786,9
"temp",14,918550,922032,12
"temp",NA,918618,926303,-2
"temp",4,918719,905210,-2
"temp",12,918882,933012,14
"temp",8,918969,933766,NA
"temp",14,919090,917937,2
"temp",13,919319,904702,8
"temp",-2,919715,933400,NA
"temp",14,920114,933373,12
"temp",14,920119,926795,14
"temp",13,920274,932978,9
"temp",2,920511,922616,9
"temp",-2,920527,922331,-2
"temp",-2,920527,932971,-2
"temp",8,920685,933508,14
"temp",-2,920736,932953,14
"temp",-2,921281,933726,14
"temp",13,921287,933780,-2
"temp",14,921355,933511,NA
"temp",13,921387,933104,13
"temp",9,921798,921633,14
"temp",14,921850,929502,13
"temp",14,922059,930622,13
"temp",14,922423,924080,-2
"temp",8,922449,917574,14
"temp",14,922662,933364,-2
"temp",12,922792,933479,9
"temp",-3,923140,933255,-3
"temp",13,923304,909702,-2
"temp",NA,923342,932952,-2
"temp",14,923571,902278,7
"temp",NA,923640,911736,14
"temp",14,923755,933155,13
"temp",3,923803,927686,10
"temp",-2,923874,907524,11
"temp",5,923901,932936,13
"temp",8,923974,915981,-2
"temp",8,924070,920470,14
"temp",8,924077,931409,14
"temp",14,924386,929656,13
"temp",14,924395,902281,14
"temp",14,924456,918309,13
"temp",13,924526,932873,14
"temp",14,924546,928526,-2
"temp",14,924589,918373,8
"temp",13,925041,932818,6
"temp",NA,925153,918062,14
"temp",8,925220,929596,14
"temp",14,925253,928417,14
"temp",13,925396,932995,14
"temp",12,925741,904629,13
"temp",14,926328,925577,13
"temp",14,926422,931697,12
"temp",13,926753,923897,NA
"temp",7,926884,933310,14
"temp",3,927009,932758,-2
"temp",8,927403,929466,8
"temp",14,927467,923432,-2
"temp",-2,927567,929179,9
"temp",8,928101,932874,9
"temp",13,928184,913598,12
"temp",NA,928715,925970,7
"temp",-2,928719,932623,13
"temp",-2,928817,933390,14
"temp",-2,929168,933387,-2
"temp",14,929174,932747,12
"temp",8,929180,931643,13
"temp",-3,929673,914982,-2
"temp",-2,930368,932737,13
"temp",7,930497,933130,14
"temp",14,930711,933366,12
"temp",12,930725,932671,13
"temp",13,930764,932720,-2
"temp",13,930921,933079,14
"temp",13,931019,933362,9
"temp",12,931021,933281,12
"temp",5,931077,918578,-2
"temp",13,931299,909679,8
"temp",4,931368,933679,2
"temp",13,931390,925719,12
"temp",14,931492,932685,4
"temp",2,931619,909181,4
"temp",8,932166,921334,-2
"temp",14,932240,901285,14
"temp",13,932316,932705,12
"temp",14,932322,932780,14
"temp",13,932857,932647,14
"temp",11,933172,932646,8
"temp",-2,933220,933318,9
"temp",8,933413,933940,-2
"temp",12,933783,933312,14
