"","V1","V2","V3","V4"
"temp",5.98476605005441,900332,933848,3.584229390681
"temp",0.374131480491716,900606,927699,6.58324265505985
"temp",5.44069640914037,900724,930854,4.83133841131665
"temp",4.99135695764909,900782,933617,4.24374319912949
"temp",6.37992831541219,900804,933878,4.84010371650821
"temp",32.6441784548422,900843,933611,1.36200716845878
"temp",6.85527747551687,900848,916771,0
"temp",0,900854,918077,11.6430903155604
"temp",8.70511425462459,901022,933598,NA
"temp",2.49632892804699,901121,922505,4.67899891186072
"temp",4.69317199654278,901123,932558,6.20239390642002
"temp",NA,901501,927939,6.63764961915125
"temp",4.02611534276387,901816,931588,0
"temp",2.19533275713051,902519,926200,25.9291270527226
"temp",11.9695321001088,902782,933941,4.83772198407838
"temp",4.27830596369922,902792,933944,2.29390681003584
"temp",11.2078346028292,902973,933847,6.09357997823721
"temp",1.96415770609319,903009,933648,17.286084701815
"temp",0.10752688172043,903030,927781,5.48387096774194
"temp",5.94982078853047,903065,909423,5.16866158868335
"temp",8.16104461371055,903096,914610,9.33448573898012
"temp",3.2258064516129,903130,933408,4.95103373231774
"temp",10.8813928182807,903390,920870,6.66015557476232
"temp",6.39585133967156,903786,931168,5.27225583405359
"temp",2.92165397170838,904075,932915,6.74646354733406
"temp",3.04678998911861,904104,932894,11.6430903155604
"temp",3.24959914484233,904321,933833,0
"temp",6.7741935483871,904331,917246,0
"temp",3.22718922229026,904348,933811,9.14036996735582
"temp",4.14866032843561,904672,932990,6.63785652549698
"temp",8.26985854189336,904826,933810,10.9766637856525
"temp",0.0489662676822633,904922,924623,0.293863439930856
"temp",NA,905064,931665,5.01296456352636
"temp",2.65232974910394,905599,909944,3.93906420021763
"temp",4.13492927094668,905745,933404,8.37004405286344
"temp",6.65514261019879,905845,925843,3.37078651685393
"temp",0.949173300673607,906286,926661,9.90206746463547
"temp",2.8144519289651,906368,933536,12.34229390681
"temp",NA,906398,929280,6.35263612791703
"temp",9.75367329299914,906495,901961,0
"temp",3.55495103373232,906969,922595,2.00244947948561
"temp",7.29472774416595,908001,932737,3.23054331864905
"temp",5.60391730141458,908321,933503,10.4461371055495
"temp",5.37942955920484,908456,932357,9.93949870354365
"temp",9.46681175190424,908835,925186,3.64304235090752
"temp",18.5393258426966,909458,921648,2.72687986171132
"temp",12.5256975036711,909493,903614,9.20565832426551
"temp",7.50816104461371,909989,925745,0.17286084701815
"temp",3.9647577092511,910028,920926,1.61564390665514
"temp",3.29749103942652,910066,914779,1.82795698924731
"temp",6.38720829732066,910151,932873,3.80848748639826
"temp",NA,910166,928765,6.8085566119274
"temp",7.04845814977974,910424,933565,NA
"temp",2.7094668117519,910533,933513,9.20484010371651
"temp",2.33362143474503,910616,932613,5.17954298150163
"temp",8.70511425462459,910863,933706,7.54080522306855
"temp",3.26441784548422,911237,933325,7.12453233564939
"temp",6.96409140369967,911261,931722,11.9695321001088
"temp",5.57127312295974,911266,931275,4.18502202643172
"temp",6.05012964563526,911698,915861,9.79325353645267
"temp",10.8813928182807,911952,933398,7.09466811751904
"temp",12.1871599564744,912193,933671,7.63873775843308
"temp",3.1843233312921,912843,933919,6.12622415669206
"temp",2.28509249183896,912970,908587,12.3854796888505
"temp",7.18171926006529,913077,933653,5.33188248095756
"temp",6.95412186379928,913359,933272,0
"temp",16.4217804667243,913496,933257,4.75516866158868
"temp",4.07087294727744,913681,911107,2.63601741022851
"temp",NA,913790,933148,7.34843845682792
"temp",4.08602150537634,913829,933202,4.09680207433016
"temp",0,913844,932612,8.26985854189336
"temp",4.66724286949006,913914,928404,NA
"temp",5.00544069640914,914225,900842,9.31899641577061
"temp",5.44069640914037,914538,933193,21.505376344086
"temp",4.02611534276387,914635,903775,2.76605005440696
"temp",22.3721436343852,914826,928977,5.27747551686616
"temp",6.39281828073993,914849,932617,3.69967355821545
"temp",9.35799782372144,915068,931890,3.80832823025107
"temp",5.76713819368879,915607,922261,4.82045701849837
"temp",0.136017410228509,915837,933467,4.04494382022472
"temp",10.4659498207885,915911,933161,10.6637649619151
"temp",10.4461371055495,916011,933623,3.41400172860847
"temp",4.81501632208923,916114,924915,2.34442523768366
"temp",2.76577355229041,916180,933462,NA
"temp",4.29815016322089,916198,930048,0
"temp",4.7741935483871,916346,933171,32.6441784548422
"temp",3.57997823721436,916622,933138,2.33362143474503
"temp",13.9825897714908,916670,916945,4.40528634361233
"temp",7.39844425237684,916756,911546,20.892274211099
"temp",0,917003,933593,5.38461538461539
"temp",6.88172043010753,917114,917885,4.48313384113167
"temp",6.05012964563526,917781,933080,0.00558002936857562
"temp",2.67934312878133,917853,933578,3.08243727598566
"temp",6.63764961915125,917875,926377,6.11534276387378
"temp",7.52992383025027,917903,933079,2.51202565473009
"temp",5.62489196197061,918091,933103,2.50272034820457
"temp",6.16487455197133,918253,933573,4.23509075194468
"temp",5.310119695321,918339,933015,NA
"temp",2.64526659412405,918487,933786,4.44444444444444
"temp",5.76713819368879,918550,922032,5.85429815016322
"temp",NA,918618,926303,6.09357997823721
"temp",10.5790838375108,918719,905210,0
"temp",3.97170837867247,918882,933012,2.21980413492927
"temp",9.68020743301642,918969,933766,NA
"temp",3.584229390681,919090,917937,2.79001468428781
"temp",5.57127312295974,919319,904702,2.89109766637857
"temp",10.6418933623504,919715,933400,NA
"temp",3.37323177366703,920114,933373,7.91227312013829
"temp",23.0685527747552,920119,926795,10.4461371055495
"temp",0.0293685756240822,920274,932978,1.74102285092492
"temp",1.63348017621145,920511,922616,4.51944684528954
"temp",8.21523394994559,920527,922331,6.24891961970614
"temp",8.21523394994559,920527,932971,0
"temp",0.914036996735582,920685,933508,3.49178910976664
"temp",8.33514689880305,920736,932953,5.53154710458081
"temp",4.89662676822633,921281,933726,6.07605877268799
"temp",7.33303964757709,921287,933780,8.25897714907508
"temp",3.72143634385201,921355,933511,NA
"temp",2.52448313384113,921387,933104,4.3010752688172
"temp",4.66811751904244,921798,921633,0
"temp",1.74102285092492,921850,929502,2.72401433691756
"temp",3.3609334485739,922059,930622,3.8494623655914
"temp",6.04026115342764,922423,924080,2.71659324522761
"temp",0,922449,917574,4.79325353645267
"temp",18.1936887921654,922662,933364,4.01433691756272
"temp",9.54478707782673,922792,933479,7.16845878136201
"temp",5.00544069640914,923140,933255,0
"temp",1.95865070729053,923304,909702,8.57317819963258
"temp",NA,923342,932952,5.0272034820457
"temp",4.57127312295974,923571,902278,4.07168458781362
"temp",NA,923640,911736,3.59085963003264
"temp",32.6441784548422,923755,933155,5.54019014693172
"temp",1.41745894554883,923803,927686,0
"temp",2.6431718061674,923874,907524,2.7571305099395
"temp",11.7519042437432,923901,932936,2.39412273120138
"temp",15.1248164464023,923974,915981,5.11425462459195
"temp",3.50924918389554,924070,920470,28.5282916213275
"temp",3.32970620239391,924077,931409,8.70511425462459
"temp",6.58324265505985,924386,929656,6.63729809104258
"temp",0,924395,902281,4.49438202247191
"temp",2.39390642002176,924456,918309,11.2359550561798
"temp",10.9902067464635,924526,932873,3.80848748639826
"temp",2.19533275713051,924546,928526,1.68661588683351
"temp",5.2895419187554,924589,918373,10.8813928182807
"temp",1.7286084701815,925041,932818,12.3394994559304
"temp",NA,925153,918062,5.23297491039427
"temp",3.40587595212187,925220,929596,4.05017921146953
"temp",0,925253,928417,0
"temp",10.1815038893691,925396,932995,1.4145810663765
"temp",7.59521218715996,925741,904629,6.82800345721694
"temp",3.45721694036301,926328,925577,1.74910394265233
"temp",4.87035436473639,926422,931697,2.20264317180617
"temp",27.2578890097933,926753,923897,NA
"temp",9.24918389553863,926884,933310,0
"temp",5.22904062229905,927009,932758,2.8673835125448
"temp",3.48438456827924,927403,929466,3.88465723612622
"temp",8.92274211099021,927467,923432,8.05223068552775
"temp",8.48748639825898,927567,929179,7.94341675734494
"temp",11.4907508161045,928101,932874,10.4461371055495
"temp",32.6441784548422,928184,913598,15.9956474428727
"temp",NA,928715,925970,5.65832426550598
"temp",1.30903155603917,928719,932623,1.84983677910773
"temp",2.90322580645161,928817,933390,6.31120783460283
"temp",7.92165397170838,929168,933387,5.70440795159896
"temp",4.84010371650821,929174,932747,0.0864304235090752
"temp",2.34948604992658,929180,931643,5.09939498703544
"temp",0,929673,914982,0
"temp",6.52883569096844,930368,932737,3.23054331864905
"temp",2.29390681003584,930497,933130,11.8063112078346
"temp",3.79326695116169,930711,933366,7.04845814977974
"temp",3.54364736387208,930725,932671,4.3525571273123
"temp",6.09357997823721,930764,932720,4.32152117545376
"temp",1.98789974070873,930921,933079,2.51202565473009
"temp",4.13492927094668,931019,933362,29.923830250272
"temp",5.8759521218716,931021,933281,0.0652883569096844
"temp",2.33362143474503,931077,918578,4.40795159896283
"temp",5.98476605005441,931299,909679,7.46463547334059
"temp",7.18171926006529,931368,933679,0.0544069640914037
"temp",4.75367329299914,931390,925719,0.665514261019879
"temp",3.15560391730141,931492,932685,2.00716845878136
"temp",10.2790014684288,931619,909181,7.99755052051439
"temp",2.82916213275299,932166,921334,32.6441784548422
"temp",7.09466811751904,932240,901285,3.3680342927128
"temp",4.4613710554951,932316,932705,2.24719101123596
"temp",2.87201469687691,932322,932780,3.08243727598566
"temp",9.54478707782673,932857,932647,21.7763873775843
"temp",2.72034820457018,933172,932646,8.21545157780196
"temp",1.1685393258427,933220,933318,0.052863436123348
"temp",3.5038084874864,933413,933940,5.65832426550598
"temp",2.39390642002176,933783,933312,1.29645635263613
