"","V1","V2","V3","V4"
"temp",-2,900332,933848,-2
"temp",8,900606,927699,12
"temp",9,900724,930854,9
"temp",9,900782,933617,14
"temp",-2,900804,933878,13
"temp",13,900843,933611,13
"temp",7,900848,916771,14
"temp",-2,900854,918077,13
"temp",14,901022,933598,NA
"temp",-2,901121,922505,12
"temp",14,901123,932558,8
"temp",NA,901501,927939,13
"temp",12,901816,931588,12
"temp",14,902519,926200,-2
"temp",13,902782,933941,11
"temp",-2,902792,933944,13
"temp",13,902973,933847,8
"temp",6,903009,933648,11
"temp",2,903030,927781,-2
"temp",14,903065,909423,9
"temp",8,903096,914610,13
"temp",13,903130,933408,-2
"temp",-2,903390,920870,14
"temp",8,903786,931168,13
"temp",4,904075,932915,13
"temp",6,904104,932894,13
"temp",10,904321,933833,14
"temp",9,904331,917246,-3
"temp",9,904348,933811,-2
"temp",14,904672,932990,13
"temp",-2,904826,933810,14
"temp",8,904922,924623,12
"temp",NA,905064,931665,14
"temp",14,905599,909944,13
"temp",-2,905745,933404,13
"temp",9,905845,925843,8
"temp",-2,906286,926661,8
"temp",13,906368,933536,13
"temp",NA,906398,929280,-2
"temp",13,906495,901961,-2
"temp",14,906969,922595,7
"temp",13,908001,932737,13
"temp",-2,908321,933503,-2
"temp",8,908456,932357,-2
"temp",13,908835,925186,-2
"temp",9,909458,921648,14
"temp",14,909493,903614,11
"temp",14,909989,925745,12
"temp",-2,910028,920926,-2
"temp",10,910066,914779,11
"temp",14,910151,932873,14
"temp",NA,910166,928765,-2
"temp",12,910424,933565,NA
"temp",8,910533,933513,14
"temp",6,910616,932613,9
"temp",14,910863,933706,-2
"temp",14,911237,933325,8
"temp",8,911261,931722,11
"temp",12,911266,931275,4
"temp",-2,911698,915861,14
"temp",8,911952,933398,13
"temp",14,912193,933671,14
"temp",13,912843,933919,14
"temp",14,912970,908587,-2
"temp",13,913077,933653,-2
"temp",13,913359,933272,-3
"temp",13,913496,933257,-2
"temp",12,913681,911107,-2
"temp",NA,913790,933148,13
"temp",14,913829,933202,10
"temp",13,913844,932612,14
"temp",6,913914,928404,NA
"temp",4,914225,900842,11
"temp",14,914538,933193,14
"temp",8,914635,903775,-2
"temp",-2,914826,928977,2
"temp",8,914849,932617,13
"temp",11,915068,931890,8
"temp",12,915607,922261,14
"temp",12,915837,933467,12
"temp",8,915911,933161,-2
"temp",-2,916011,933623,7
"temp",-2,916114,924915,13
"temp",-2,916180,933462,NA
"temp",8,916198,930048,13
"temp",9,916346,933171,13
"temp",4,916622,933138,3
"temp",13,916670,916945,14
"temp",10,916756,911546,8
"temp",14,917003,933593,14
"temp",9,917114,917885,13
"temp",-2,917781,933080,-3
"temp",-2,917853,933578,8
"temp",13,917875,926377,-2
"temp",8,917903,933079,10
"temp",13,918091,933103,7
"temp",14,918253,933573,3
"temp",13,918339,933015,NA
"temp",14,918487,933786,13
"temp",2,918550,922032,10
"temp",NA,918618,926303,-2
"temp",14,918719,905210,-2
"temp",4,918882,933012,14
"temp",12,918969,933766,NA
"temp",3,919090,917937,9
"temp",9,919319,904702,12
"temp",-2,919715,933400,NA
"temp",12,920114,933373,7
"temp",13,920119,926795,14
"temp",14,920274,932978,9
"temp",3,920511,922616,13
"temp",-2,920527,922331,-2
"temp",-2,920527,932971,-2
"temp",10,920685,933508,10
"temp",-2,920736,932953,12
"temp",-2,921281,933726,13
"temp",12,921287,933780,-2
"temp",13,921355,933511,NA
"temp",8,921387,933104,3
"temp",9,921798,921633,14
"temp",12,921850,929502,14
"temp",14,922059,930622,13
"temp",14,922423,924080,-2
"temp",14,922449,917574,14
"temp",3,922662,933364,-2
"temp",13,922792,933479,13
"temp",8,923140,933255,-3
"temp",14,923304,909702,-2
"temp",NA,923342,932952,-2
"temp",4,923571,902278,9
"temp",NA,923640,911736,13
"temp",9,923755,933155,13
"temp",10,923803,927686,5
"temp",-2,923874,907524,9
"temp",14,923901,932936,11
"temp",9,923974,915981,-2
"temp",13,924070,920470,9
"temp",11,924077,931409,13
"temp",13,924386,929656,14
"temp",14,924395,902281,2
"temp",14,924456,918309,14
"temp",14,924526,932873,14
"temp",14,924546,928526,-2
"temp",14,924589,918373,8
"temp",12,925041,932818,13
"temp",NA,925153,918062,8
"temp",7,925220,929596,8
"temp",14,925253,928417,13
"temp",13,925396,932995,9
"temp",14,925741,904629,12
"temp",14,926328,925577,12
"temp",7,926422,931697,8
"temp",9,926753,923897,NA
"temp",14,926884,933310,7
"temp",8,927009,932758,-2
"temp",13,927403,929466,13
"temp",14,927467,923432,-2
"temp",-2,927567,929179,14
"temp",8,928101,932874,13
"temp",13,928184,913598,12
"temp",NA,928715,925970,13
"temp",-2,928719,932623,8
"temp",-2,928817,933390,14
"temp",-2,929168,933387,-2
"temp",8,929174,932747,14
"temp",2,929180,931643,8
"temp",-3,929673,914982,-2
"temp",-2,930368,932737,13
"temp",13,930497,933130,14
"temp",13,930711,933366,14
"temp",13,930725,932671,12
"temp",9,930764,932720,-2
"temp",13,930921,933079,10
"temp",13,931019,933362,13
"temp",14,931021,933281,8
"temp",4,931077,918578,-2
"temp",8,931299,909679,14
"temp",12,931368,933679,13
"temp",4,931390,925719,4
"temp",14,931492,932685,8
"temp",9,931619,909181,14
"temp",8,932166,921334,-2
"temp",13,932240,901285,14
"temp",9,932316,932705,8
"temp",14,932322,932780,13
"temp",14,932857,932647,14
"temp",8,933172,932646,6
"temp",-2,933220,933318,8
"temp",9,933413,933940,-2
"temp",13,933783,933312,8
