"","V1","V2","V3","V4"
"temp",-12,900332,933848,-12
"temp",77,900606,927699,73
"temp",66,900724,930854,52
"temp",67,900782,933617,64
"temp",-12,900804,933878,69
"temp",79,900843,933611,77
"temp",65,900848,916771,79
"temp",-12,900854,918077,81
"temp",76,901022,933598,NA
"temp",-12,901121,922505,64
"temp",77,901123,932558,73
"temp",NA,901501,927939,66
"temp",74,901816,931588,52
"temp",68,902519,926200,-12
"temp",75,902782,933941,65
"temp",-12,902792,933944,78
"temp",73,902973,933847,68
"temp",51,903009,933648,74
"temp",46,903030,927781,-12
"temp",76,903065,909423,64
"temp",59,903096,914610,80
"temp",73,903130,933408,-12
"temp",-12,903390,920870,82
"temp",50,903786,931168,79
"temp",63,904075,932915,68
"temp",53,904104,932894,81
"temp",72,904321,933833,73
"temp",73,904331,917246,-18
"temp",64,904348,933811,-12
"temp",73,904672,932990,82
"temp",-12,904826,933810,76
"temp",74,904922,924623,67
"temp",NA,905064,931665,77
"temp",71,905599,909944,58
"temp",-12,905745,933404,58
"temp",79,905845,925843,76
"temp",-12,906286,926661,72
"temp",83,906368,933536,76
"temp",NA,906398,929280,-12
"temp",82,906495,901961,-12
"temp",56,906969,922595,67
"temp",75,908001,932737,59
"temp",-12,908321,933503,-12
"temp",57,908456,932357,-12
"temp",75,908835,925186,-12
"temp",71,909458,921648,77
"temp",68,909493,903614,73
"temp",83,909989,925745,68
"temp",-12,910028,920926,-12
"temp",62,910066,914779,77
"temp",73,910151,932873,76
"temp",NA,910166,928765,-12
"temp",78,910424,933565,NA
"temp",60,910533,933513,77
"temp",63,910616,932613,78
"temp",70,910863,933706,-12
"temp",72,911237,933325,61
"temp",76,911261,931722,68
"temp",66,911266,931275,64
"temp",-12,911698,915861,78
"temp",70,911952,933398,77
"temp",80,912193,933671,82
"temp",75,912843,933919,78
"temp",81,912970,908587,-12
"temp",76,913077,933653,-12
"temp",75,913359,933272,-18
"temp",75,913496,933257,-12
"temp",69,913681,911107,-12
"temp",NA,913790,933148,57
"temp",66,913829,933202,57
"temp",76,913844,932612,66
"temp",55,913914,928404,NA
"temp",59,914225,900842,71
"temp",84,914538,933193,82
"temp",64,914635,903775,-12
"temp",-12,914826,928977,63
"temp",71,914849,932617,60
"temp",57,915068,931890,75
"temp",63,915607,922261,78
"temp",63,915837,933467,66
"temp",78,915911,933161,-12
"temp",-12,916011,933623,66
"temp",-12,916114,924915,66
"temp",-12,916180,933462,NA
"temp",50,916198,930048,69
"temp",65,916346,933171,77
"temp",68,916622,933138,44
"temp",80,916670,916945,71
"temp",70,916756,911546,61
"temp",77,917003,933593,75
"temp",45,917114,917885,76
"temp",-12,917781,933080,-18
"temp",-12,917853,933578,54
"temp",77,917875,926377,-12
"temp",41,917903,933079,68
"temp",81,918091,933103,64
"temp",75,918253,933573,66
"temp",62,918339,933015,NA
"temp",72,918487,933786,70
"temp",64,918550,922032,68
"temp",NA,918618,926303,-12
"temp",68,918719,905210,-12
"temp",60,918882,933012,77
"temp",66,918969,933766,NA
"temp",71,919090,917937,46
"temp",62,919319,904702,47
"temp",-12,919715,933400,NA
"temp",75,920114,933373,66
"temp",81,920119,926795,81
"temp",72,920274,932978,68
"temp",35,920511,922616,71
"temp",-12,920527,922331,-12
"temp",-12,920527,932971,-12
"temp",59,920685,933508,64
"temp",-12,920736,932953,76
"temp",-12,921281,933726,80
"temp",72,921287,933780,-12
"temp",82,921355,933511,NA
"temp",71,921387,933104,63
"temp",65,921798,921633,82
"temp",68,921850,929502,76
"temp",81,922059,930622,69
"temp",83,922423,924080,-12
"temp",64,922449,917574,77
"temp",45,922662,933364,-12
"temp",73,922792,933479,72
"temp",55,923140,933255,-18
"temp",70,923304,909702,-12
"temp",NA,923342,932952,-12
"temp",68,923571,902278,70
"temp",NA,923640,911736,79
"temp",68,923755,933155,66
"temp",47,923803,927686,57
"temp",-12,923874,907524,64
"temp",64,923901,932936,58
"temp",71,923974,915981,-12
"temp",75,924070,920470,65
"temp",61,924077,931409,79
"temp",76,924386,929656,77
"temp",76,924395,902281,65
"temp",77,924456,918309,78
"temp",76,924526,932873,76
"temp",82,924546,928526,-12
"temp",82,924589,918373,56
"temp",71,925041,932818,67
"temp",NA,925153,918062,63
"temp",52,925220,929596,67
"temp",73,925253,928417,78
"temp",73,925396,932995,73
"temp",75,925741,904629,72
"temp",74,926328,925577,75
"temp",75,926422,931697,65
"temp",64,926753,923897,NA
"temp",67,926884,933310,74
"temp",64,927009,932758,-12
"temp",63,927403,929466,68
"temp",82,927467,923432,-12
"temp",-12,927567,929179,72
"temp",57,928101,932874,63
"temp",69,928184,913598,63
"temp",NA,928715,925970,52
"temp",-12,928719,932623,62
"temp",-12,928817,933390,78
"temp",-12,929168,933387,-12
"temp",65,929174,932747,70
"temp",60,929180,931643,69
"temp",-18,929673,914982,-12
"temp",-12,930368,932737,59
"temp",69,930497,933130,81
"temp",82,930711,933366,71
"temp",73,930725,932671,58
"temp",66,930764,932720,-12
"temp",81,930921,933079,68
"temp",79,931019,933362,77
"temp",75,931021,933281,68
"temp",57,931077,918578,-12
"temp",71,931299,909679,67
"temp",65,931368,933679,51
"temp",62,931390,925719,54
"temp",82,931492,932685,58
"temp",54,931619,909181,66
"temp",60,932166,921334,-12
"temp",71,932240,901285,77
"temp",59,932316,932705,61
"temp",70,932322,932780,72
"temp",68,932857,932647,83
"temp",64,933172,932646,64
"temp",-12,933220,933318,65
"temp",64,933413,933940,-12
"temp",71,933783,933312,68
