"","V1","V2","V3","V4"
"temp",0,900332,933848,0
"temp",0,900606,927699,0
"temp",0,900724,930854,1
"temp",0,900782,933617,0
"temp",0,900804,933878,0
"temp",0,900843,933611,0
"temp",0,900848,916771,1
"temp",0,900854,918077,0
"temp",0,901022,933598,NA
"temp",0,901121,922505,0
"temp",0,901123,932558,0
"temp",NA,901501,927939,0
"temp",0,901816,931588,0
"temp",0,902519,926200,0
"temp",0,902782,933941,1
"temp",0,902792,933944,0
"temp",0,902973,933847,0
"temp",0,903009,933648,1
"temp",0,903030,927781,0
"temp",1,903065,909423,0
"temp",0,903096,914610,0
"temp",1,903130,933408,0
"temp",0,903390,920870,0
"temp",0,903786,931168,0
"temp",0,904075,932915,1
"temp",0,904104,932894,0
"temp",0,904321,933833,0
"temp",0,904331,917246,0
"temp",0,904348,933811,0
"temp",0,904672,932990,0
"temp",0,904826,933810,1
"temp",0,904922,924623,0
"temp",NA,905064,931665,0
"temp",0,905599,909944,0
"temp",0,905745,933404,0
"temp",0,905845,925843,1
"temp",0,906286,926661,0
"temp",0,906368,933536,0
"temp",NA,906398,929280,0
"temp",0,906495,901961,0
"temp",0,906969,922595,0
"temp",0,908001,932737,0
"temp",0,908321,933503,0
"temp",0,908456,932357,0
"temp",0,908835,925186,0
"temp",0,909458,921648,0
"temp",0,909493,903614,0
"temp",0,909989,925745,0
"temp",0,910028,920926,0
"temp",0,910066,914779,0
"temp",1,910151,932873,0
"temp",NA,910166,928765,0
"temp",0,910424,933565,NA
"temp",0,910533,933513,1
"temp",0,910616,932613,0
"temp",0,910863,933706,0
"temp",0,911237,933325,0
"temp",0,911261,931722,0
"temp",0,911266,931275,0
"temp",0,911698,915861,0
"temp",0,911952,933398,0
"temp",0,912193,933671,0
"temp",1,912843,933919,0
"temp",0,912970,908587,0
"temp",0,913077,933653,0
"temp",0,913359,933272,0
"temp",0,913496,933257,0
"temp",1,913681,911107,0
"temp",NA,913790,933148,0
"temp",0,913829,933202,0
"temp",0,913844,932612,0
"temp",0,913914,928404,NA
"temp",0,914225,900842,0
"temp",0,914538,933193,0
"temp",0,914635,903775,0
"temp",0,914826,928977,1
"temp",0,914849,932617,0
"temp",0,915068,931890,0
"temp",0,915607,922261,0
"temp",0,915837,933467,0
"temp",0,915911,933161,0
"temp",0,916011,933623,0
"temp",0,916114,924915,0
"temp",0,916180,933462,NA
"temp",1,916198,930048,1
"temp",0,916346,933171,1
"temp",0,916622,933138,0
"temp",0,916670,916945,0
"temp",0,916756,911546,0
"temp",0,917003,933593,0
"temp",0,917114,917885,0
"temp",0,917781,933080,0
"temp",0,917853,933578,0
"temp",0,917875,926377,0
"temp",0,917903,933079,0
"temp",0,918091,933103,0
"temp",0,918253,933573,0
"temp",0,918339,933015,NA
"temp",0,918487,933786,0
"temp",0,918550,922032,0
"temp",NA,918618,926303,0
"temp",0,918719,905210,0
"temp",0,918882,933012,0
"temp",0,918969,933766,NA
"temp",0,919090,917937,0
"temp",0,919319,904702,0
"temp",0,919715,933400,NA
"temp",0,920114,933373,1
"temp",0,920119,926795,0
"temp",0,920274,932978,1
"temp",0,920511,922616,0
"temp",0,920527,922331,0
"temp",0,920527,932971,0
"temp",0,920685,933508,0
"temp",0,920736,932953,0
"temp",0,921281,933726,1
"temp",0,921287,933780,0
"temp",0,921355,933511,NA
"temp",0,921387,933104,0
"temp",0,921798,921633,0
"temp",0,921850,929502,0
"temp",1,922059,930622,1
"temp",0,922423,924080,0
"temp",0,922449,917574,0
"temp",0,922662,933364,0
"temp",0,922792,933479,0
"temp",1,923140,933255,0
"temp",0,923304,909702,0
"temp",NA,923342,932952,0
"temp",0,923571,902278,0
"temp",NA,923640,911736,0
"temp",0,923755,933155,0
"temp",0,923803,927686,0
"temp",0,923874,907524,0
"temp",0,923901,932936,0
"temp",0,923974,915981,0
"temp",1,924070,920470,1
"temp",0,924077,931409,0
"temp",0,924386,929656,0
"temp",0,924395,902281,0
"temp",1,924456,918309,0
"temp",0,924526,932873,0
"temp",0,924546,928526,0
"temp",0,924589,918373,0
"temp",0,925041,932818,0
"temp",NA,925153,918062,1
"temp",0,925220,929596,0
"temp",0,925253,928417,0
"temp",0,925396,932995,0
"temp",0,925741,904629,0
"temp",0,926328,925577,1
"temp",0,926422,931697,0
"temp",1,926753,923897,NA
"temp",0,926884,933310,0
"temp",0,927009,932758,0
"temp",1,927403,929466,0
"temp",0,927467,923432,0
"temp",0,927567,929179,1
"temp",0,928101,932874,0
"temp",0,928184,913598,0
"temp",NA,928715,925970,0
"temp",0,928719,932623,0
"temp",0,928817,933390,0
"temp",0,929168,933387,0
"temp",0,929174,932747,0
"temp",0,929180,931643,0
"temp",0,929673,914982,0
"temp",0,930368,932737,0
"temp",0,930497,933130,0
"temp",0,930711,933366,0
"temp",1,930725,932671,0
"temp",0,930764,932720,0
"temp",0,930921,933079,0
"temp",0,931019,933362,0
"temp",0,931021,933281,0
"temp",0,931077,918578,0
"temp",0,931299,909679,0
"temp",0,931368,933679,0
"temp",0,931390,925719,0
"temp",0,931492,932685,0
"temp",0,931619,909181,0
"temp",0,932166,921334,0
"temp",0,932240,901285,0
"temp",0,932316,932705,0
"temp",0,932322,932780,0
"temp",0,932857,932647,0
"temp",0,933172,932646,1
"temp",0,933220,933318,0
"temp",0,933413,933940,0
"temp",0,933783,933312,0
