"","V1","V2","V3","V4"
"temp",-2,900332,933848,-2
"temp",14,900606,927699,13
"temp",12,900724,930854,8
"temp",12,900782,933617,12
"temp",-2,900804,933878,12
"temp",14,900843,933611,13
"temp",13,900848,916771,14
"temp",-2,900854,918077,14
"temp",13,901022,933598,NA
"temp",-2,901121,922505,12
"temp",12,901123,932558,14
"temp",NA,901501,927939,9
"temp",14,901816,931588,13
"temp",9,902519,926200,-2
"temp",14,902782,933941,13
"temp",-2,902792,933944,14
"temp",11,902973,933847,13
"temp",10,903009,933648,13
"temp",7,903030,927781,-2
"temp",13,903065,909423,13
"temp",12,903096,914610,13
"temp",13,903130,933408,-2
"temp",-2,903390,920870,14
"temp",8,903786,931168,12
"temp",12,904075,932915,12
"temp",12,904104,932894,14
"temp",13,904321,933833,13
"temp",12,904331,917246,-3
"temp",8,904348,933811,-2
"temp",13,904672,932990,13
"temp",-2,904826,933810,14
"temp",13,904922,924623,12
"temp",NA,905064,931665,14
"temp",12,905599,909944,13
"temp",-2,905745,933404,13
"temp",14,905845,925843,14
"temp",-2,906286,926661,12
"temp",14,906368,933536,13
"temp",NA,906398,929280,-2
"temp",13,906495,901961,-2
"temp",8,906969,922595,13
"temp",13,908001,932737,10
"temp",-2,908321,933503,-2
"temp",13,908456,932357,-2
"temp",14,908835,925186,-2
"temp",13,909458,921648,14
"temp",8,909493,903614,12
"temp",14,909989,925745,14
"temp",-2,910028,920926,-2
"temp",8,910066,914779,12
"temp",12,910151,932873,12
"temp",NA,910166,928765,-2
"temp",13,910424,933565,NA
"temp",8,910533,933513,12
"temp",8,910616,932613,14
"temp",14,910863,933706,-2
"temp",8,911237,933325,12
"temp",14,911261,931722,12
"temp",7,911266,931275,8
"temp",-2,911698,915861,11
"temp",13,911952,933398,14
"temp",14,912193,933671,14
"temp",13,912843,933919,14
"temp",13,912970,908587,-2
"temp",13,913077,933653,-2
"temp",13,913359,933272,-3
"temp",13,913496,933257,-2
"temp",10,913681,911107,-2
"temp",NA,913790,933148,4
"temp",12,913829,933202,12
"temp",13,913844,932612,13
"temp",11,913914,928404,NA
"temp",8,914225,900842,12
"temp",14,914538,933193,13
"temp",11,914635,903775,-2
"temp",-2,914826,928977,12
"temp",14,914849,932617,10
"temp",12,915068,931890,12
"temp",8,915607,922261,13
"temp",12,915837,933467,12
"temp",14,915911,933161,-2
"temp",-2,916011,933623,14
"temp",-2,916114,924915,12
"temp",-2,916180,933462,NA
"temp",4,916198,930048,10
"temp",13,916346,933171,12
"temp",13,916622,933138,7
"temp",13,916670,916945,13
"temp",14,916756,911546,12
"temp",13,917003,933593,13
"temp",8,917114,917885,13
"temp",-2,917781,933080,-3
"temp",-2,917853,933578,12
"temp",14,917875,926377,-2
"temp",3,917903,933079,8
"temp",14,918091,933103,8
"temp",14,918253,933573,13
"temp",12,918339,933015,NA
"temp",13,918487,933786,12
"temp",13,918550,922032,14
"temp",NA,918618,926303,-2
"temp",14,918719,905210,-2
"temp",12,918882,933012,8
"temp",12,918969,933766,NA
"temp",14,919090,917937,9
"temp",13,919319,904702,8
"temp",-2,919715,933400,NA
"temp",13,920114,933373,13
"temp",13,920119,926795,13
"temp",8,920274,932978,14
"temp",7,920511,922616,13
"temp",-2,920527,922331,-2
"temp",-2,920527,932971,-2
"temp",10,920685,933508,13
"temp",-2,920736,932953,12
"temp",-2,921281,933726,12
"temp",12,921287,933780,-2
"temp",14,921355,933511,NA
"temp",14,921387,933104,14
"temp",13,921798,921633,14
"temp",3,921850,929502,14
"temp",13,922059,930622,12
"temp",13,922423,924080,-2
"temp",13,922449,917574,14
"temp",-3,922662,933364,-2
"temp",12,922792,933479,14
"temp",12,923140,933255,-3
"temp",9,923304,909702,-2
"temp",NA,923342,932952,-2
"temp",12,923571,902278,13
"temp",NA,923640,911736,13
"temp",12,923755,933155,13
"temp",6,923803,927686,12
"temp",-2,923874,907524,12
"temp",9,923901,932936,4
"temp",14,923974,915981,-2
"temp",13,924070,920470,9
"temp",8,924077,931409,13
"temp",13,924386,929656,12
"temp",13,924395,902281,13
"temp",14,924456,918309,13
"temp",13,924526,932873,12
"temp",12,924546,928526,-2
"temp",13,924589,918373,8
"temp",9,925041,932818,12
"temp",NA,925153,918062,14
"temp",12,925220,929596,14
"temp",13,925253,928417,13
"temp",12,925396,932995,14
"temp",13,925741,904629,13
"temp",14,926328,925577,14
"temp",13,926422,931697,8
"temp",12,926753,923897,NA
"temp",12,926884,933310,13
"temp",13,927009,932758,-2
"temp",14,927403,929466,9
"temp",14,927467,923432,-2
"temp",-2,927567,929179,13
"temp",13,928101,932874,11
"temp",12,928184,913598,9
"temp",NA,928715,925970,8
"temp",-2,928719,932623,8
"temp",-2,928817,933390,12
"temp",-2,929168,933387,-2
"temp",12,929174,932747,12
"temp",14,929180,931643,12
"temp",-3,929673,914982,-2
"temp",-2,930368,932737,10
"temp",13,930497,933130,13
"temp",14,930711,933366,12
"temp",12,930725,932671,7
"temp",14,930764,932720,-2
"temp",13,930921,933079,8
"temp",12,931019,933362,14
"temp",13,931021,933281,9
"temp",12,931077,918578,-2
"temp",12,931299,909679,13
"temp",12,931368,933679,12
"temp",12,931390,925719,8
"temp",14,931492,932685,13
"temp",9,931619,909181,12
"temp",9,932166,921334,-2
"temp",13,932240,901285,13
"temp",12,932316,932705,13
"temp",12,932322,932780,13
"temp",10,932857,932647,13
"temp",13,933172,932646,13
"temp",-2,933220,933318,8
"temp",12,933413,933940,-2
"temp",13,933783,933312,9
