"","V1","V2","V3","V4"
"temp",5,900332,933848,0
"temp",5,900606,927699,-18
"temp",5,900724,930854,4
"temp",2,900782,933617,NA
"temp",1,900804,933878,8
"temp",3,900843,933611,NA
"temp",8,900848,916771,2
"temp",2,900854,918077,2
"temp",0,901022,933598,NA
"temp",7,901121,922505,1
"temp",3,901123,932558,6
"temp",NA,901501,927939,-8
"temp",5,901816,931588,-18
"temp",11,902519,926200,11
"temp",3,902782,933941,2
"temp",9,902792,933944,NA
"temp",7,902973,933847,2
"temp",14,903009,933648,1
"temp",20,903030,927781,2
"temp",0,903065,909423,8
"temp",4,903096,914610,7
"temp",2,903130,933408,2
"temp",NA,903390,920870,NA
"temp",19,903786,931168,0
"temp",7,904075,932915,0
"temp",13,904104,932894,3
"temp",NA,904321,933833,7
"temp",0,904331,917246,NA
"temp",3,904348,933811,11
"temp",6,904672,932990,NA
"temp",NA,904826,933810,5
"temp",0,904922,924623,11
"temp",NA,905064,931665,2
"temp",5,905599,909944,10
"temp",NA,905745,933404,0
"temp",0,905845,925843,3
"temp",NA,906286,926661,2
"temp",NA,906368,933536,3
"temp",NA,906398,929280,2
"temp",21,906495,901961,8
"temp",19,906969,922595,5
"temp",5,908001,932737,6
"temp",0,908321,933503,8
"temp",5,908456,932357,0
"temp",2,908835,925186,7
"temp",5,909458,921648,0
"temp",2,909493,903614,1
"temp",3,909989,925745,4
"temp",2,910028,920926,1
"temp",10,910066,914779,3
"temp",NA,910151,932873,0
"temp",NA,910166,928765,12
"temp",1,910424,933565,NA
"temp",0,910533,933513,1
"temp",2,910616,932613,16
"temp",4,910863,933706,4
"temp",2,911237,933325,NA
"temp",19,911261,931722,13
"temp",8,911266,931275,0
"temp",11,911698,915861,0
"temp",7,911952,933398,10
"temp",3,912193,933671,5
"temp",17,912843,933919,0
"temp",0,912970,908587,1
"temp",8,913077,933653,3
"temp",1,913359,933272,NA
"temp",10,913496,933257,0
"temp",2,913681,911107,NA
"temp",NA,913790,933148,31
"temp",2,913829,933202,0
"temp",NA,913844,932612,4
"temp",NA,913914,928404,NA
"temp",4,914225,900842,NA
"temp",0,914538,933193,2
"temp",3,914635,903775,12
"temp",3,914826,928977,2
"temp",NA,914849,932617,3
"temp",16,915068,931890,1
"temp",5,915607,922261,8
"temp",8,915837,933467,NA
"temp",NA,915911,933161,2
"temp",15,916011,933623,6
"temp",7,916114,924915,NA
"temp",NA,916180,933462,NA
"temp",30,916198,930048,15
"temp",9,916346,933171,3
"temp",0,916622,933138,10
"temp",2,916670,916945,3
"temp",6,916756,911546,6
"temp",10,917003,933593,2
"temp",21,917114,917885,8
"temp",3,917781,933080,NA
"temp",4,917853,933578,NA
"temp",4,917875,926377,NA
"temp",9,917903,933079,0
"temp",4,918091,933103,6
"temp",2,918253,933573,8
"temp",10,918339,933015,NA
"temp",1,918487,933786,NA
"temp",1,918550,922032,3
"temp",NA,918618,926303,4
"temp",3,918719,905210,9
"temp",0,918882,933012,3
"temp",NA,918969,933766,NA
"temp",0,919090,917937,17
"temp",10,919319,904702,NA
"temp",15,919715,933400,NA
"temp",7,920114,933373,6
"temp",7,920119,926795,2
"temp",10,920274,932978,NA
"temp",30,920511,922616,3
"temp",7,920527,922331,6
"temp",7,920527,932971,NA
"temp",NA,920685,933508,0
"temp",6,920736,932953,7
"temp",11,921281,933726,12
"temp",5,921287,933780,2
"temp",NA,921355,933511,NA
"temp",1,921387,933104,2
"temp",7,921798,921633,6
"temp",6,921850,929502,NA
"temp",0,922059,930622,15
"temp",7,922423,924080,2
"temp",NA,922449,917574,0
"temp",3,922662,933364,8
"temp",4,922792,933479,9
"temp",0,923140,933255,NA
"temp",3,923304,909702,21
"temp",NA,923342,932952,6
"temp",0,923571,902278,NA
"temp",NA,923640,911736,0
"temp",4,923755,933155,2
"temp",3,923803,927686,13
"temp",2,923874,907524,NA
"temp",NA,923901,932936,NA
"temp",14,923974,915981,12
"temp",3,924070,920470,9
"temp",8,924077,931409,3
"temp",1,924386,929656,6
"temp",NA,924395,902281,2
"temp",2,924456,918309,NA
"temp",NA,924526,932873,0
"temp",10,924546,928526,4
"temp",1,924589,918373,16
"temp",NA,925041,932818,6
"temp",NA,925153,918062,-1
"temp",0,925220,929596,18
"temp",10,925253,928417,1
"temp",6,925396,932995,8
"temp",9,925741,904629,2
"temp",6,926328,925577,14
"temp",3,926422,931697,5
"temp",8,926753,923897,NA
"temp",5,926884,933310,0
"temp",0,927009,932758,-3
"temp",10,927403,929466,4
"temp",3,927467,923432,4
"temp",2,927567,929179,7
"temp",3,928101,932874,2
"temp",4,928184,913598,8
"temp",NA,928715,925970,8
"temp",18,928719,932623,-12
"temp",7,928817,933390,6
"temp",0,929168,933387,7
"temp",16,929174,932747,NA
"temp",0,929180,931643,3
"temp",NA,929673,914982,7
"temp",9,930368,932737,6
"temp",0,930497,933130,1
"temp",0,930711,933366,2
"temp",6,930725,932671,8
"temp",NA,930764,932720,2
"temp",3,930921,933079,0
"temp",1,931019,933362,5
"temp",0,931021,933281,6
"temp",3,931077,918578,10
"temp",9,931299,909679,0
"temp",4,931368,933679,17
"temp",10,931390,925719,7
"temp",0,931492,932685,2
"temp",6,931619,909181,0
"temp",12,932166,921334,4
"temp",1,932240,901285,8
"temp",1,932316,932705,7
"temp",NA,932322,932780,5
"temp",3,932857,932647,0
"temp",8,933172,932646,1
"temp",0,933220,933318,0
"temp",4,933413,933940,1
"temp",9,933783,933312,16
