"","V1","V2","V3","V4"
"temp",0,900537,906117,0
"temp",NA,901615,906546,NA
"temp",NA,902464,928432,NA
"temp",NA,902498,931947,NA
"temp",0,904665,932380,0
"temp",0,905854,928184,0
"temp",0,906081,914795,0
"temp",0,906521,902431,2
"temp",1,910308,921006,-6
"temp",0,910616,908482,0
"temp",2,914594,932970,1
"temp",1,914632,904040,0
"temp",1,916078,922311,2
"temp",2,918487,931544,0
"temp",0,919747,908207,0
"temp",0,920393,906879,0
"temp",0,920931,914889,1
"temp",0,933706,925348,0
"temp",0,905204,932637,0
"temp",NA,911679,917456,NA
"temp",0,913545,922505,0
"temp",7,919616,906346,0
"temp",NA,920250,912755,NA
"temp",0,920561,927233,1
"temp",-6,921567,907909,0
"temp",3,923433,923976,0
"temp",NA,925526,917874,NA
"temp",NA,926034,915060,NA
"temp",0,927857,901344,0
"temp",0,901295,922230,0
"temp",4,904013,930839,1
"temp",1,905093,933304,3
"temp",NA,906274,930653,NA
"temp",0,908656,907095,2
"temp",0,909884,927687,2
"temp",2,910543,905420,0
"temp",NA,911608,916778,NA
"temp",0,912361,926738,0
"temp",4,913086,931878,2
"temp",0,915787,909551,NA
"temp",NA,915798,927516,NA
"temp",0,916221,910946,1
"temp",2,916669,933008,6
"temp",1,921883,922326,0
"temp",NA,923324,907392,NA
"temp",NA,923965,910941,NA
"temp",NA,924626,910302,NA
"temp",1,928577,906920,5
"temp",1,929329,919259,1
"temp",0,931019,931299,0
"temp",0,932419,908129,3
"temp",0,932995,910093,0
"temp",NA,900674,932466,NA
"temp",0,902608,921362,0
"temp",0,903096,923486,3
"temp",2,903318,931021,4
"temp",2,903654,920593,0
"temp",0,903734,919892,0
"temp",10,905068,925837,4
"temp",1,906222,924945,0
"temp",NA,906952,919018,NA
"temp",0,907115,906160,5
"temp",NA,907526,923165,NA
"temp",2,908414,902858,-1
"temp",NA,908636,925041,NA
"temp",0,909278,926686,0
"temp",NA,909783,924591,NA
"temp",0,910820,918944,0
"temp",0,913088,926151,0
"temp",1,913165,908361,0
"temp",6,913679,904443,3
"temp",NA,913744,924639,NA
"temp",4,915077,930098,1
"temp",0,916260,932861,0
"temp",2,916804,922207,4
"temp",0,917051,914360,0
"temp",1,917447,914857,0
"temp",0,918062,912602,1
"temp",NA,918128,917098,NA
"temp",0,918937,925731,0
"temp",NA,918957,921745,NA
"temp",NA,920635,930469,NA
"temp",NA,920800,903224,NA
"temp",0,921287,932039,NA
"temp",0,921844,932705,0
"temp",NA,922383,914493,NA
"temp",NA,923524,928652,NA
"temp",0,923847,919183,1
"temp",3,924238,930356,0
"temp",NA,924896,913859,NA
"temp",0,925741,904489,3
"temp",NA,926081,930066,0
"temp",3,926776,932890,3
"temp",0,928038,923677,1
"temp",3,929684,916923,0
"temp",1,929687,915794,0
"temp",0,930167,914779,0
"temp",2,932093,910410,0
"temp",0,933218,928893,0
"temp",NA,900440,903088,NA
"temp",2,901125,932319,7
"temp",-6,901297,919560,1
"temp",0,901636,930506,0
"temp",NA,901860,910214,NA
"temp",0,902125,912701,0
"temp",0,903194,929452,0
"temp",2,903452,927773,1
"temp",NA,904129,933678,NA
"temp",NA,904449,921813,NA
"temp",NA,904831,919852,NA
"temp",0,905130,900274,-6
"temp",0,905857,912423,0
"temp",1,909623,917315,1
"temp",0,910291,928589,0
"temp",0,910299,910280,1
"temp",0,910636,906302,0
"temp",1,910665,922119,0
"temp",1,911584,908194,2
"temp",NA,911928,927684,NA
"temp",NA,913555,920632,NA
"temp",1,914616,933327,3
"temp",0,914826,927590,1
"temp",2,915282,931148,0
"temp",NA,915418,907590,NA
"temp",NA,915698,925153,NA
"temp",9,917768,921943,0
"temp",4,919161,915205,1
"temp",0,919494,915784,0
"temp",0,919816,901244,0
"temp",0,920190,917574,0
"temp",NA,921528,921041,NA
"temp",NA,921580,928891,NA
"temp",0,922992,923561,1
"temp",NA,923503,913013,NA
"temp",0,925249,931088,0
"temp",2,926086,930372,0
"temp",1,927885,915350,1
"temp",0,927948,932253,2
"temp",0,928283,930302,0
"temp",0,929133,910321,2
"temp",12,929214,913870,0
"temp",1,930368,919677,0
"temp",4,931685,905048,0
"temp",-6,932458,903841,NA
"temp",NA,933223,926431,NA
"temp",0,933727,925710,0
"temp",3,900833,902812,-6
"temp",0,901714,902651,2
"temp",NA,902333,919777,NA
"temp",0,902575,903762,-6
"temp",NA,903093,933438,NA
"temp",NA,903683,933602,NA
"temp",NA,904103,918057,NA
"temp",3,904104,928251,1
"temp",0,904133,932581,0
"temp",0,905094,915061,4
"temp",10,905294,901894,1
"temp",NA,905666,911414,NA
"temp",5,906969,920114,3
"temp",0,907456,916427,0
"temp",4,908372,914177,7
"temp",0,908571,905510,0
"temp",4,909770,908775,1
"temp",2,910026,926677,11
"temp",0,910579,930162,2
"temp",5,910863,923874,2
"temp",NA,911324,924205,NA
"temp",0,911425,904696,2
"temp",1,911731,931371,2
"temp",0,912468,926598,0
"temp",3,913037,925195,2
"temp",1,913623,933398,0
"temp",0,914679,909852,0
"temp",NA,915165,924746,NA
"temp",0,917274,903203,1
"temp",NA,918539,906749,NA
"temp",3,918583,920464,0
"temp",0,918613,926862,1
"temp",1,919114,928673,0
"temp",NA,919491,911100,NA
"temp",1,919621,903561,8
"temp",NA,920010,927457,NA
"temp",0,921057,929976,2
"temp",0,921548,933032,1
"temp",NA,921845,930815,NA
"temp",NA,921995,915381,NA
"temp",2,923020,927985,2
"temp",NA,923254,914744,NA
"temp",0,923573,900979,0
"temp",0,924371,927622,0
"temp",2,924910,926287,3
"temp",NA,925055,932529,NA
"temp",1,925106,933833,3
"temp",NA,926093,922155,NA
"temp",1,927108,909861,2
"temp",1,927362,921204,0
"temp",NA,927501,928490,NA
"temp",2,927994,926177,0
"temp",0,928955,900236,2
"temp",NA,930405,921927,NA
"temp",0,931816,926596,2
"temp",NA,932175,929186,NA
"temp",3,932284,933172,2
"temp",NA,932322,921126,NA
"temp",0,932396,914001,0
"temp",2,900115,925287,0
"temp",0,902619,909191,2
"temp",2,902833,922885,1
"temp",0,903830,903870,0
"temp",0,904379,921909,1
"temp",0,904478,930684,4
"temp",0,904520,925725,0
"temp",0,904737,929322,0
"temp",0,908629,920463,0
"temp",1,908871,910824,0
"temp",2,909245,914048,1
"temp",6,910537,908162,3
"temp",NA,913190,908056,NA
"temp",1,913280,921915,2
"temp",7,913304,923554,1
"temp",0,913700,932917,0
"temp",0,914173,915266,0
"temp",0,914321,924662,4
"temp",0,915903,917830,7
"temp",0,916411,930850,0
"temp",0,916936,924070,0
"temp",9,917683,925738,8
"temp",NA,918047,927152,NA
"temp",NA,918152,909253,NA
"temp",NA,918698,933166,NA
"temp",6,919363,923881,4
"temp",0,919715,916303,0
"temp",NA,919941,904475,NA
"temp",2,919963,927358,2
"temp",NA,920069,903307,NA
"temp",3,920198,913523,4
"temp",0,920687,923293,0
"temp",7,921329,904596,1
"temp",NA,921408,911713,NA
"temp",0,921875,919825,0
"temp",0,924012,909894,1
"temp",1,926041,923271,0
"temp",0,926705,929769,0
"temp",0,926916,910182,0
"temp",1,927341,919693,5
"temp",3,927437,915914,-6
"temp",NA,930819,919200,NA
"temp",0,930955,918117,1
"temp",2,931034,931955,0
"temp",1,933147,924954,0
"temp",2,933364,917937,5
"temp",0,933413,900476,1
"temp",NA,933731,918535,NA
"temp",2,900207,928859,-6
"temp",NA,900226,920700,NA
"temp",0,900475,918295,0
"temp",2,900676,907651,1
"temp",1,900859,917464,0
"temp",0,901927,918887,0
"temp",0,902033,911636,0
"temp",NA,902520,922129,NA
"temp",0,903195,928505,0
"temp",NA,903666,932639,NA
"temp",0,903896,931649,NA
"temp",2,904457,921146,0
"temp",NA,905031,922049,NA
"temp",NA,906368,931501,NA
"temp",3,906701,912338,1
"temp",1,908027,928818,1
"temp",NA,908342,912982,NA
"temp",0,908955,920420,0
"temp",1,909211,904897,0
"temp",0,910414,916554,1
"temp",1,910925,916105,0
"temp",NA,911910,920585,NA
"temp",NA,912417,933633,NA
"temp",1,912780,929258,2
"temp",3,913472,919104,0
"temp",0,914635,906590,0
"temp",0,914643,917825,0
"temp",1,915578,927373,0
"temp",8,916905,923140,0
"temp",NA,918366,911578,NA
"temp",NA,918829,908266,NA
"temp",1,921043,901576,0
"temp",1,922051,917885,0
"temp",0,922196,909651,0
"temp",1,922327,928916,1
"temp",NA,922739,914045,NA
"temp",0,922793,933767,2
"temp",0,923354,925960,2
"temp",NA,923923,908698,NA
"temp",1,926719,927000,1
"temp",0,927399,923752,2
"temp",NA,927404,920711,NA
"temp",NA,929605,901131,NA
"temp",0,929614,919138,NA
"temp",10,930205,924767,2
"temp",NA,930325,932346,NA
"temp",3,930481,910541,0
"temp",4,933280,916250,0
"temp",1,901688,933623,0
"temp",0,902516,921454,9
"temp",1,903009,904426,0
"temp",0,903525,925384,0
"temp",0,905078,915379,-6
"temp",1,905786,931386,4
"temp",0,907344,924849,2
"temp",7,908008,924800,4
"temp",4,908124,905443,1
"temp",0,908160,909458,0
"temp",0,908557,926495,2
"temp",NA,909100,913634,NA
"temp",3,909713,916601,1
"temp",0,909863,933716,3
"temp",2,910062,933564,2
