"","V1","V2","V3","V4"
"temp",20.1305767138194,900537,906117,4.78781284004353
"temp",10.057044079516,901615,906546,0
"temp",NA,902464,928432,NA
"temp",NA,902498,931947,NA
"temp",8.09575625680087,904665,932380,3.91730141458107
"temp",2.67934312878133,905854,928184,32.6441784548422
"temp",0,906081,914795,0
"temp",4.72252448313384,906521,902431,4.84010371650821
"temp",0,910308,921006,1.63220892274211
"temp",2.33362143474503,910616,908482,5.54951033732318
"temp",8.3025027203482,914594,932970,2.12187159956474
"temp",12.1432945499081,914632,904040,0
"temp",1.74743024963289,916078,922311,2.72034820457018
"temp",2.64526659412405,918487,931544,5.00544069640914
"temp",6.12334801762115,919747,908207,6.40234948604993
"temp",11.044613710555,920393,906879,1.95865070729053
"temp",5.35868625756266,920931,914889,5.61797752808989
"temp",7.54080522306855,933706,925348,3.73545621555419
"temp",6.95321001088139,905204,932637,0.881057268722467
"temp",NA,911679,917456,NA
"temp",2.4310119695321,913545,922505,4.67899891186072
"temp",7.83460282916213,919616,906346,2.72034820457018
"temp",0.605012964563526,920250,912755,9.79325353645267
"temp",3.1843233312921,920561,927233,1.00358422939068
"temp",2.15451577801959,921567,907909,7.34214390602056
"temp",3.37738619676946,923433,923976,0
"temp",NA,925526,917874,NA
"temp",NA,926034,915060,NA
"temp",3.20117474302496,927857,901344,3.81664853101197
"temp",3.26441784548422,901295,922230,5.11425462459195
"temp",6.31120783460283,904013,930839,6.78998911860718
"temp",4.67709593777009,905093,933304,0
"temp",NA,906274,930653,NA
"temp",7.56451612903226,908656,907095,0
"temp",5.51686615886833,909884,927687,13.7151248164464
"temp",5.2863436123348,910543,905420,5.13601741022851
"temp",3.26441784548422,911608,916778,25.9291270527226
"temp",2.17627856365615,912361,926738,4.4613710554951
"temp",9.63003264417845,913086,931878,6.09318996415771
"temp",25.0489662676823,915787,909551,NA
"temp",NA,915798,927516,NA
"temp",4.32152117545376,916221,910946,3.97170837867247
"temp",9.68443960826986,916669,933008,2.17627856365615
"temp",5.76713819368879,921883,922326,5.33188248095756
"temp",1.61527165932452,923324,907392,0
"temp",NA,923965,910941,NA
"temp",NA,924626,910302,NA
"temp",9.12273120138289,928577,906920,0
"temp",5.22306855277476,929329,919259,7.95159896283492
"temp",4.13492927094668,931019,931299,5.98476605005441
"temp",15.2981849611063,932419,908129,1.07725788900979
"temp",1.4145810663765,932995,910093,5.87813620071685
"temp",3.04678998911861,900674,932466,0.0320684126135756
"temp",4.83133841131665,902608,921362,0.881057268722467
"temp",8.16104461371055,903096,923486,2.17627856365615
"temp",5.8759521218716,903318,931021,5.8759521218716
"temp",5.98476605005441,903654,920593,0
"temp",4.57018498367791,903734,919892,0.10371650821089
"temp",5.22306855277476,905068,925837,8.92034820457019
"temp",4.38520130576714,906222,924945,3.63007778738116
"temp",NA,906952,919018,NA
"temp",10.7181719260065,907115,906160,20.7290533188248
"temp",5.22306855277476,907526,923165,3.69967355821545
"temp",5.65832426550598,908414,902858,6.31120783460283
"temp",2.72255834053587,908636,925041,1.7286084701815
"temp",0,909278,926686,7.37251512532411
"temp",NA,909783,924591,NA
"temp",7.18171926006529,910820,918944,2.28509249183896
"temp",25.9291270527226,913088,926151,25.9291270527226
"temp",0.837867247007617,913165,908361,0
"temp",2.89445048966268,913679,904443,1.30576713819369
"temp",7.61697497279652,913744,924639,6.63764961915125
"temp",20.6746463547334,915077,930098,4.29815016322089
"temp",14.8639825897715,916260,932861,7.15995647442873
"temp",6.22959738846572,916804,922207,0
"temp",4.96191512513602,917051,914360,3.11306901615272
"temp",11.6430903155604,917447,914857,10.1196953210011
"temp",5.23297491039427,918062,912602,4.2580812445981
"temp",NA,918128,917098,NA
"temp",9.12557127312296,918937,925731,5.36300777873812
"temp",0.870511425462459,918957,921745,0
"temp",4.40795159896283,920635,930469,3.12878133102852
"temp",0,920800,903224,0.108813928182807
"temp",7.33303964757709,921287,932039,NA
"temp",7.61697497279652,921844,932705,2.24719101123596
"temp",0,922383,914493,3.52636127917027
"temp",5.08052230685528,923524,928652,0
"temp",9.11840968020743,923847,919183,3.72143634385201
"temp",1.14254624591948,924238,930356,7.08729472774417
"temp",NA,924896,913859,NA
"temp",7.59521218715996,925741,904489,6.39585133967156
"temp",1.34929270946681,926081,930066,4.40795159896283
"temp",4.4613710554951,926776,932890,1.90895741556535
"temp",6.85527747551687,928038,923677,3.8411316648531
"temp",0,929684,916923,0
"temp",6.52883569096844,929687,915794,17.8454842219804
"temp",5.31979256698358,930167,914779,1.82795698924731
"temp",21.5451577801959,932093,910410,6.42002176278564
"temp",5.26115342763874,933218,928893,5.44069640914037
"temp",12.2731201382887,900440,903088,9.14036996735582
"temp",3.45721694036301,901125,932319,0
"temp",3.80293863439931,901297,919560,8.05223068552775
"temp",10.2790014684288,901636,930506,6.52549697493518
"temp",NA,901860,910214,NA
"temp",8.46028291621328,902125,912701,4.09140369967356
"temp",8.8139281828074,903194,929452,3.26441784548422
"temp",6.13656006914434,903452,927773,9.57562568008705
"temp",NA,904129,933678,NA
"temp",NA,904449,921813,NA
"temp",4.50489662676823,904831,919852,0
"temp",8.90097932535365,905130,900274,0
"temp",5.44069640914037,905857,912423,6.85527747551687
"temp",6.65514261019879,909623,917315,2.11099020674646
"temp",6.39585133967156,910291,928589,6.7247007616975
"temp",7.50816104461371,910299,910280,2.93863439930856
"temp",3.69967355821545,910636,906302,5.35868625756266
"temp",14.145810663765,910665,922119,4.00855157669695
"temp",3.42763873775843,911584,908194,6.56692056583243
"temp",0.43525571273123,911928,927684,0
"temp",3.5386289445049,913555,920632,3.65638766519824
"temp",1.5233949945593,914616,933327,2.20264317180617
"temp",22.3721436343852,914826,927590,2.54480286738351
"temp",0,915282,931148,5.13601741022851
"temp",NA,915418,907590,NA
"temp",NA,915698,925153,NA
"temp",0,917768,921943,5.44069640914037
"temp",3.584229390681,919161,915205,0
"temp",8.31130690161527,919494,915784,5.32411408815903
"temp",11.4798694232862,919816,901244,3.8411316648531
"temp",11.5342763873776,920190,917574,4.79325353645267
"temp",4.13492927094668,921528,921041,7.33405875952122
"temp",NA,921580,928891,NA
"temp",9.67741935483871,922992,923561,4.97839239412273
"temp",0.0293685756240822,923503,913013,2.80286738351254
"temp",4.3010752688172,925249,931088,1.08813928182807
"temp",16.2132752992383,926086,930372,3.91730141458107
"temp",6.1086637298091,927885,915350,3.21001088139282
"temp",9.79325353645267,927948,932253,3.71993586317477
"temp",4.43960826985854,928283,930302,4.3525571273123
"temp",4.22939068100358,929133,910321,6.05012964563526
"temp",10.1088139281828,929214,913870,0
"temp",6.52883569096844,930368,919677,4.29815016322089
"temp",3.80848748639826,931685,905048,5.47334058759521
"temp",5.54883318928263,932458,903841,5.05984766050054
"temp",NA,933223,926431,NA
"temp",0.0432152117545376,933727,925710,6.50707290533188
"temp",4.87455197132616,900833,902812,3.59085963003264
"temp",0,901714,902651,6.09357997823721
"temp",11.9695321001088,902333,919777,6.52883569096844
"temp",5.94668117519042,902575,903762,4.09140369967356
"temp",NA,903093,933438,NA
"temp",0,903683,933602,4.06754772393539
"temp",0,904103,918057,0
"temp",3.04678998911861,904104,928251,3.08370044052863
"temp",3.54364736387208,904133,932581,4.69897209985316
"temp",1.65932452276065,905094,915061,5.44511668107174
"temp",4.51577801958651,905294,901894,0
"temp",NA,905666,911414,NA
"temp",3.55495103373232,906969,920114,3.37323177366703
"temp",9.40152339499456,907456,916427,6.29390681003584
"temp",16.354733405876,908372,914177,0
"temp",7.83460282916213,908571,905510,0
"temp",8.05223068552775,909770,908775,1.76211453744493
"temp",4.70076169749728,910026,926677,4.01523394994559
"temp",7.61697497279652,910579,930162,3.87554019014693
"temp",8.70511425462459,910863,923874,2.6431718061674
"temp",0,911324,924205,2.34948604992658
"temp",5.76713819368879,911425,904696,3.92394122731201
"temp",2.72034820457018,911731,931371,1.50537634408602
"temp",12.2959738846572,912468,926598,0.0293685756240822
"temp",0,913037,925195,1.4145810663765
"temp",10.8813928182807,913623,933398,7.09466811751904
"temp",3.72980910425844,914679,909852,6.18841832324978
"temp",2.66594124047878,915165,924746,2.16076058772688
"temp",5.11425462459195,917274,903203,1.36387096774194
"temp",4.56352636127917,918539,906749,2.68817204301075
"temp",4.52665941240479,918583,920464,5.78392394122731
"temp",8.97714907508161,918613,926862,3.69967355821545
"temp",2.17627856365615,919114,928673,0
"temp",3.71650821089023,919491,911100,4.49438202247191
"temp",8.5233949945593,919621,903561,4.5980985306828
"temp",2.42110990206746,920010,927457,0.870511425462459
"temp",3.64526659412405,921057,929976,5.98803046789989
"temp",0,921548,933032,14.0369967355822
"temp",0,921845,930815,2.20264317180617
"temp",3.26441784548422,921995,915381,7.07290533188248
"temp",6.7247007616975,923020,927985,5.16487455197133
"temp",0,923254,914744,4.57018498367791
"temp",7.3993471164309,923573,900979,3.18824809575626
"temp",1.25535823637477,924371,927622,10.2829162132753
"temp",3.84615384615385,924910,926287,1.84983677910773
"temp",5.89771490750816,925055,932529,4.92653414001729
"temp",3.35146898803047,925106,933833,0
"temp",4.57018498367791,926093,922155,8.26985854189336
"temp",9.57562568008705,927108,909861,9.57562568008705
"temp",4.06222990492653,927362,921204,20.6746463547334
"temp",NA,927501,928490,NA
"temp",2.49632892804699,927994,926177,8.98803046789989
"temp",2.79001468428781,928955,900236,4.69897209985316
"temp",NA,930405,921927,NA
"temp",9.57562568008705,931816,926596,1.71463563992652
"temp",2.02082057562768,932175,929186,2.9379760609358
"temp",44.0528634361233,932284,933172,2.72034820457018
"temp",2.87201469687691,932322,921126,6.80087051142546
"temp",6.05658324265506,932396,914001,2.61153427638738
"temp",0,900115,925287,1.89282627484875
"temp",7.0892274211099,902619,909191,1.32143634385201
"temp",3.43852013057671,902833,922885,6.74646354733406
"temp",6.42002176278564,903830,903870,5.22306855277476
"temp",13.0576713819369,904379,921909,4.95103373231774
"temp",13.8193688792165,904478,930684,0.014336917562724
"temp",11.7519042437432,904520,925725,25.9291270527226
"temp",0,904737,929322,1.87159956474429
"temp",2.55712731229597,908629,920463,18.7159956474429
"temp",3.26441784548422,908871,910824,3.45721694036301
"temp",3.28435609334486,909245,914048,6.52883569096844
"temp",1.55574762316335,910537,908162,1.15342763873776
"temp",2.8673835125448,913190,908056,5.4019014693172
"temp",4.49438202247191,913280,921915,6.31120783460283
"temp",9.93949870354365,913304,923554,3.26441784548422
"temp",21.8795888399413,913700,932917,2.87268770402612
"temp",3.71650821089023,914173,915266,0.544069640914037
"temp",0,914321,924662,2.71892222902633
"temp",0,915903,917830,0
"temp",4.1784548422198,916411,930850,0.864304235090752
"temp",4.67899891186072,916936,924070,3.50924918389554
"temp",0.195073465859983,917683,925738,3.45721694036301
"temp",NA,918047,927152,NA
"temp",NA,918152,909253,NA
"temp",0.244947948560931,918698,933166,3.26441784548422
"temp",4.3525571273123,919363,923881,3.72415669205658
"temp",10.6418933623504,919715,916303,5.44069640914037
"temp",NA,919941,904475,NA
"temp",6.58324265505985,919963,927358,2.25244831338411
"temp",0,920069,903307,6.48228176318064
"temp",4.73340587595212,920198,913523,3.08370044052863
"temp",12.4265505984766,920687,923293,4.88331892826275
"temp",9.46681175190424,921329,904596,5.24632670700086
"temp",NA,921408,911713,NA
"temp",6.20239390642002,921875,919825,32.6441784548422
"temp",0,924012,909894,2.1505376344086
"temp",4.95103373231774,926041,923271,7.61697497279652
"temp",6.13656006914434,926705,929769,0
"temp",12.40478781284,926916,910182,1.46842878120411
"temp",18.6071817192601,927341,919693,6.85527747551687
"temp",6.52883569096844,927437,915914,5.96369922212619
"temp",3.97579948141746,930819,919200,7.61697497279652
"temp",6.11534276387378,930955,918117,0
"temp",9.19477693144723,931034,931955,0
"temp",1.08813928182807,933147,924954,4.65401102265769
"temp",4.01433691756272,933364,917937,2.79001468428781
"temp",3.5038084874864,933413,900476,0
"temp",NA,933731,918535,NA
"temp",3.86289445048966,900207,928859,6.31120783460283
"temp",0,900226,920700,0
"temp",4.95212187159956,900475,918295,4.30423509075194
"temp",12.6224156692057,900676,907651,11.7519042437432
"temp",8.10035842293907,900859,917464,7.18171926006529
"temp",6.06741573033708,901927,918887,21.7627856365615
"temp",1.80587595212187,902033,911636,6.22299049265341
"temp",4.06222990492653,902520,922129,3.32757130509939
"temp",6.5790838375108,903195,928505,9.47769314472252
"temp",NA,903666,932639,NA
"temp",4.3525571273123,903896,931649,NA
"temp",3.9426523297491,904457,921146,0
"temp",2.34948604992658,905031,922049,0
"temp",2.8144519289651,906368,931501,1.46931719965428
"temp",2.24156692056583,906701,912338,3.9647577092511
"temp",13.8193688792165,908027,928818,7.66637856525497
"temp",0,908342,912982,4.24727744165946
"temp",0.0834917891097666,908955,920420,5.22306855277476
"temp",7.61697497279652,909211,904897,0.130576713819369
"temp",5.8759521218716,910414,916554,5.18582541054451
"temp",2.82627484874676,910925,916105,5.87726879861711
"temp",6.33297062023939,911910,920585,2.21261884183233
"temp",NA,912417,933633,NA
"temp",4.02611534276387,912780,929258,6.09357997823721
"temp",4.44504896626768,913472,919104,3.87377584330794
"temp",4.02611534276387,914635,906590,4.84004352557127
"temp",6.16740088105727,914643,917825,7.61697497279652
"temp",4.57018498367791,915578,927373,0.217627856365615
"temp",0.881057268722467,916905,923140,5.00544069640914
"temp",NA,918366,911578,NA
"temp",NA,918829,908266,NA
"temp",5.8759521218716,921043,901576,2.72034820457018
"temp",3.5038084874864,922051,917885,4.48313384113167
"temp",3.26441784548422,922196,909651,3.64526659412405
"temp",3.11751904243743,922327,928916,2.17627856365615
"temp",6.10198789974071,922739,914045,2.6822633297062
"temp",1.63220892274211,922793,933767,5.26659412404788
