"","V1","V2","V3","V4"
"temp",12,900537,906117,14
"temp",8,901615,906546,13
"temp",NA,902464,928432,NA
"temp",NA,902498,931947,NA
"temp",9,904665,932380,-2
"temp",5,905854,928184,13
"temp",7,906081,914795,8
"temp",13,906521,902431,13
"temp",3,910308,921006,-2
"temp",6,910616,908482,14
"temp",14,914594,932970,9
"temp",13,914632,904040,13
"temp",13,916078,922311,14
"temp",14,918487,931544,8
"temp",14,919747,908207,9
"temp",13,920393,906879,14
"temp",8,920931,914889,14
"temp",-2,933706,925348,-2
"temp",14,905204,932637,8
"temp",NA,911679,917456,NA
"temp",12,913545,922505,12
"temp",12,919616,906346,8
"temp",14,920250,912755,13
"temp",8,920561,927233,14
"temp",8,921567,907909,8
"temp",-2,923433,923976,7
"temp",NA,925526,917874,NA
"temp",NA,926034,915060,NA
"temp",-2,927857,901344,12
"temp",14,901295,922230,10
"temp",8,904013,930839,9
"temp",7,905093,933304,-2
"temp",NA,906274,930653,NA
"temp",13,908656,907095,14
"temp",-2,909884,927687,-2
"temp",14,910543,905420,-2
"temp",14,911608,916778,13
"temp",-3,912361,926738,14
"temp",-2,913086,931878,13
"temp",13,915787,909551,NA
"temp",NA,915798,927516,NA
"temp",9,916221,910946,12
"temp",-2,916669,933008,13
"temp",14,921883,922326,13
"temp",8,923324,907392,-3
"temp",NA,923965,910941,NA
"temp",NA,924626,910302,NA
"temp",13,928577,906920,9
"temp",7,929329,919259,14
"temp",13,931019,931299,8
"temp",14,932419,908129,8
"temp",9,932995,910093,-2
"temp",-2,900674,932466,3
"temp",-2,902608,921362,3
"temp",8,903096,923486,8
"temp",-2,903318,931021,14
"temp",-2,903654,920593,12
"temp",-2,903734,919892,9
"temp",9,905068,925837,14
"temp",12,906222,924945,12
"temp",NA,906952,919018,NA
"temp",14,907115,906160,-2
"temp",8,907526,923165,14
"temp",14,908414,902858,8
"temp",3,908636,925041,12
"temp",-2,909278,926686,13
"temp",NA,909783,924591,NA
"temp",14,910820,918944,10
"temp",12,913088,926151,-2
"temp",8,913165,908361,12
"temp",-2,913679,904443,8
"temp",8,913744,924639,14
"temp",14,915077,930098,12
"temp",14,916260,932861,13
"temp",13,916804,922207,14
"temp",13,917051,914360,12
"temp",-2,917447,914857,13
"temp",8,918062,912602,-2
"temp",NA,918128,917098,NA
"temp",13,918937,925731,12
"temp",-2,918957,921745,8
"temp",13,920635,930469,14
"temp",-3,920800,903224,9
"temp",12,921287,932039,NA
"temp",13,921844,932705,8
"temp",8,922383,914493,7
"temp",11,923524,928652,9
"temp",6,923847,919183,14
"temp",-2,924238,930356,14
"temp",NA,924896,913859,NA
"temp",14,925741,904489,14
"temp",-2,926081,930066,-2
"temp",13,926776,932890,8
"temp",-2,928038,923677,8
"temp",9,929684,916923,13
"temp",12,929687,915794,14
"temp",4,930167,914779,11
"temp",-2,932093,910410,9
"temp",-2,933218,928893,14
"temp",14,900440,903088,13
"temp",12,901125,932319,14
"temp",12,901297,919560,12
"temp",-3,901636,930506,-2
"temp",NA,901860,910214,NA
"temp",13,902125,912701,9
"temp",12,903194,929452,8
"temp",13,903452,927773,13
"temp",NA,904129,933678,NA
"temp",NA,904449,921813,NA
"temp",13,904831,919852,8
"temp",9,905130,900274,13
"temp",-2,905857,912423,14
"temp",9,909623,917315,13
"temp",12,910291,928589,14
"temp",-2,910299,910280,10
"temp",-2,910636,906302,14
"temp",8,910665,922119,-3
"temp",13,911584,908194,14
"temp",12,911928,927684,8
"temp",11,913555,920632,8
"temp",8,914616,933327,8
"temp",-2,914826,927590,14
"temp",8,915282,931148,13
"temp",NA,915418,907590,NA
"temp",NA,915698,925153,NA
"temp",2,917768,921943,13
"temp",14,919161,915205,14
"temp",13,919494,915784,13
"temp",13,919816,901244,14
"temp",-2,920190,917574,14
"temp",8,921528,921041,10
"temp",NA,921580,928891,NA
"temp",14,922992,923561,12
"temp",14,923503,913013,12
"temp",3,925249,931088,14
"temp",-2,926086,930372,8
"temp",9,927885,915350,12
"temp",13,927948,932253,9
"temp",3,928283,930302,8
"temp",-2,929133,910321,13
"temp",13,929214,913870,-2
"temp",-2,930368,919677,13
"temp",8,931685,905048,13
"temp",13,932458,903841,8
"temp",NA,933223,926431,NA
"temp",8,933727,925710,14
"temp",-2,900833,902812,9
"temp",8,901714,902651,12
"temp",14,902333,919777,7
"temp",3,902575,903762,8
"temp",NA,903093,933438,NA
"temp",2,903683,933602,8
"temp",8,904103,918057,13
"temp",6,904104,928251,8
"temp",13,904133,932581,13
"temp",9,905094,915061,13
"temp",8,905294,901894,-2
"temp",NA,905666,911414,NA
"temp",14,906969,920114,12
"temp",14,907456,916427,8
"temp",13,908372,914177,13
"temp",9,908571,905510,9
"temp",13,909770,908775,14
"temp",8,910026,926677,8
"temp",4,910579,930162,12
"temp",14,910863,923874,-2
"temp",-2,911324,924205,14
"temp",-2,911425,904696,13
"temp",12,911731,931371,8
"temp",-2,912468,926598,-2
"temp",12,913037,925195,8
"temp",13,913623,933398,13
"temp",13,914679,909852,-2
"temp",3,915165,924746,13
"temp",8,917274,903203,-2
"temp",4,918539,906749,13
"temp",-2,918583,920464,14
"temp",-2,918613,926862,-2
"temp",13,919114,928673,14
"temp",14,919491,911100,13
"temp",14,919621,903561,5
"temp",8,920010,927457,9
"temp",-2,921057,929976,8
"temp",2,921548,933032,-2
"temp",9,921845,930815,2
"temp",14,921995,915381,14
"temp",-2,923020,927985,8
"temp",-2,923254,914744,-2
"temp",8,923573,900979,9
"temp",13,924371,927622,14
"temp",12,924910,926287,13
"temp",10,925055,932529,13
"temp",14,925106,933833,14
"temp",13,926093,922155,14
"temp",-2,927108,909861,14
"temp",11,927362,921204,14
"temp",NA,927501,928490,NA
"temp",4,927994,926177,9
"temp",13,928955,900236,7
"temp",NA,930405,921927,NA
"temp",13,931816,926596,13
"temp",-2,932175,929186,13
"temp",-2,932284,933172,8
"temp",14,932322,921126,14
"temp",7,932396,914001,8
"temp",12,900115,925287,14
"temp",7,902619,909191,11
"temp",13,902833,922885,8
"temp",13,903830,903870,14
"temp",9,904379,921909,14
"temp",10,904478,930684,8
"temp",-2,904520,925725,-2
"temp",8,904737,929322,9
"temp",13,908629,920463,-2
"temp",14,908871,910824,8
"temp",8,909245,914048,9
"temp",-2,910537,908162,9
"temp",13,913190,908056,8
"temp",13,913280,921915,12
"temp",14,913304,923554,12
"temp",12,913700,932917,-2
"temp",14,914173,915266,-2
"temp",14,914321,924662,13
"temp",12,915903,917830,11
"temp",11,916411,930850,4
"temp",9,916936,924070,13
"temp",8,917683,925738,8
"temp",NA,918047,927152,NA
"temp",NA,918152,909253,NA
"temp",-2,918698,933166,8
"temp",13,919363,923881,12
"temp",-2,919715,916303,14
"temp",NA,919941,904475,NA
"temp",8,919963,927358,9
"temp",8,920069,903307,14
"temp",-2,920198,913523,13
"temp",13,920687,923293,11
"temp",14,921329,904596,13
"temp",NA,921408,911713,NA
"temp",12,921875,919825,9
"temp",-2,924012,909894,13
"temp",9,926041,923271,8
"temp",13,926705,929769,7
"temp",12,926916,910182,14
"temp",-2,927341,919693,8
"temp",13,927437,915914,13
"temp",8,930819,919200,9
"temp",14,930955,918117,-2
"temp",14,931034,931955,14
"temp",14,933147,924954,14
"temp",-2,933364,917937,9
"temp",9,933413,900476,9
"temp",NA,933731,918535,NA
"temp",-2,900207,928859,14
"temp",13,900226,920700,-3
"temp",8,900475,918295,14
"temp",14,900676,907651,14
"temp",12,900859,917464,13
"temp",14,901927,918887,14
"temp",-2,902033,911636,9
"temp",14,902520,922129,12
"temp",8,903195,928505,13
"temp",NA,903666,932639,NA
"temp",14,903896,931649,NA
"temp",10,904457,921146,-2
"temp",-2,905031,922049,8
"temp",13,906368,931501,12
"temp",13,906701,912338,-2
"temp",8,908027,928818,8
"temp",8,908342,912982,-2
"temp",13,908955,920420,9
"temp",13,909211,904897,13
"temp",13,910414,916554,4
"temp",12,910925,916105,8
"temp",11,911910,920585,8
"temp",NA,912417,933633,NA
"temp",11,912780,929258,8
"temp",-2,913472,919104,-2
"temp",8,914635,906590,12
"temp",9,914643,917825,-2
"temp",-2,915578,927373,12
"temp",7,916905,923140,8
"temp",NA,918366,911578,NA
"temp",NA,918829,908266,NA
"temp",13,921043,901576,12
"temp",8,922051,917885,13
"temp",2,922196,909651,11
"temp",8,922327,928916,14
"temp",-2,922739,914045,9
"temp",-2,922793,933767,8
"temp",13,923354,925960,14
"temp",-2,923923,908698,NA
"temp",13,926719,927000,14
"temp",13,927399,923752,-2
"temp",9,927404,920711,8
"temp",2,929605,901131,2
"temp",9,929614,919138,NA
"temp",12,930205,924767,-2
"temp",-2,930325,932346,8
"temp",14,930481,910541,12
"temp",12,933280,916250,2
"temp",13,901688,933623,7
"temp",7,902516,921454,-2
"temp",6,903009,904426,13
"temp",13,903525,925384,-2
"temp",14,905078,915379,4
"temp",-2,905786,931386,14
"temp",8,907344,924849,14
"temp",14,908008,924800,14
"temp",2,908124,905443,4
"temp",-2,908160,909458,9
"temp",11,908557,926495,14
"temp",NA,909100,913634,NA
"temp",-2,909713,916601,-2
"temp",8,909863,933716,7
"temp",12,910062,933564,13
"temp",-2,910731,912724,7
"temp",9,910895,914127,14
"temp",NA,911561,927240,NA
"temp",NA,911826,919061,NA
"temp",NA,913209,919785,NA
"temp",13,913330,931554,8
"temp",14,913603,907931,9
"temp",13,914674,931884,13
"temp",9,916047,930741,8
"temp",12,916111,920773,14
"temp",9,916209,909606,8
"temp",-2,916376,932780,13
"temp",14,917052,929034,-2
"temp",13,918599,902714,9
"temp",14,918990,901957,14
"temp",9,920169,927689,-2
"temp",-2,920194,904659,8
"temp",11,920344,930857,13
"temp",-2,922559,933658,14
"temp",14,922754,903751,14
"temp",8,923025,916560,-2
"temp",9,923039,900758,8
"temp",14,923304,915582,12
"temp",-2,923516,916910,-2
"temp",-2,924040,902519,14
"temp",14,924188,907501,13
"temp",14,924546,923147,14
"temp",-2,925417,929686,8
"temp",NA,925747,928855,NA
"temp",7,926997,922590,12
"temp",-2,927252,919870,NA
"temp",NA,927307,919379,NA
"temp",14,927381,930475,-2
"temp",12,927714,926259,-2
"temp",13,927939,926513,-2
"temp",9,929922,917652,9
"temp",11,930220,917637,7
"temp",-2,930501,931380,9
"temp",-2,931354,915267,8
"temp",14,932002,922415,-2
"temp",12,933259,917585,14
"temp",-2,933408,911149,12
"temp",-2,933756,902215,13
"temp",NA,933766,927969,NA
"temp",8,900623,923728,14
"temp",-2,901019,917439,13
"temp",13,901464,925675,14
"temp",NA,902856,929428,NA
"temp",13,902958,913400,13
"temp",NA,903420,900024,NA
"temp",NA,903737,921582,NA
"temp",8,903774,932894,13
"temp",NA,903981,918170,NA
"temp",14,904209,924321,-2
"temp",13,904493,908303,12
"temp",14,904866,932558,8
"temp",9,905908,925696,-3
"temp",NA,906449,928853,NA
"temp",-2,907226,909726,13
"temp",NA,907502,920712,NA
"temp",10,908560,921119,14
"temp",13,908914,911747,NA
"temp",12,911266,921387,8
"temp",13,912422,924672,7
"temp",13,913496,926919,8
"temp",8,913546,904142,14
"temp",13,914276,918269,13
"temp",12,914697,931303,13
"temp",14,915243,933373,7
"temp",NA,916212,924631,NA
"temp",-2,916307,931340,8
"temp",11,916424,901111,13
"temp",8,916607,923480,14
"temp",NA,917959,905320,NA
"temp",9,918733,918632,13
"temp",10,918917,929217,10
"temp",8,919527,903327,8
"temp",NA,919739,920179,NA
"temp",14,919932,904796,-2
"temp",-2,920052,903639,-2
"temp",-2,921554,924093,-2
"temp",-2,922718,926393,13
"temp",9,923007,915038,14
"temp",12,923250,928218,13
"temp",12,923751,902058,14
"temp",14,923817,918703,14
"temp",8,923967,905002,13
"temp",-2,924060,933003,8
"temp",NA,924120,915355,NA
"temp",9,924163,926200,-2
"temp",12,924323,911960,-2
"temp",14,924822,906906,13
"temp",8,924864,927050,10
"temp",14,924962,932497,-2
"temp",NA,928272,916032,NA
"temp",NA,932125,903448,NA
"temp",NA,932363,908061,NA
"temp",14,933029,927159,13
"temp",5,900170,908450,-2
"temp",-2,900384,931231,8
"temp",9,900782,919691,7
"temp",-2,901057,911569,-2
"temp",9,901178,905658,13
"temp",12,901324,927959,14
"temp",3,901441,930810,-2
"temp",8,901803,930347,13
"temp",NA,902186,916572,NA
"temp",14,904210,924565,12
"temp",4,904429,921992,14
"temp",12,904727,931428,8
"temp",-2,904984,905080,14
"temp",-2,905117,917485,NA
"temp",NA,905266,920534,NA
"temp",-2,905367,905086,-2
"temp",-2,906758,906606,14
"temp",8,907126,928101,8
"temp",13,908976,933175,14
"temp",13,909076,924759,14
"temp",-2,909957,933104,3
"temp",NA,910702,911869,NA
"temp",7,911486,927312,7
"temp",13,912106,926243,-2
"temp",10,912495,933443,13
"temp",-2,912880,904704,9
"temp",13,913557,933643,13
"temp",NA,914696,909781,NA
"temp",8,917251,926685,-2
"temp",-2,918341,917535,-2
"temp",-2,918615,915295,6
"temp",3,919432,906146,NA
"temp",9,919778,933639,13
"temp",5,919919,927550,14
"temp",NA,920617,911585,NA
"temp",NA,920822,917542,NA
"temp",-2,921281,901123,14
"temp",12,921411,901794,11
"temp",14,922678,910542,-2
"temp",12,922977,913569,NA
"temp",13,923365,921874,13
"temp",4,923545,919337,13
"temp",13,923693,927219,-3
"temp",NA,923775,904755,NA
"temp",13,924530,913842,14
"temp",14,924576,931964,14
"temp",-2,924641,919507,8
"temp",9,926006,920723,8
"temp",13,926088,933404,13
"temp",8,927393,925844,13
"temp",-2,927454,923755,9
"temp",14,927490,929757,-2
"temp",14,928141,922385,12
"temp",-3,929465,908060,14
"temp",9,930737,918683,9
"temp",8,931215,906089,NA
"temp",NA,931439,923888,NA
"temp",8,933135,932274,4
"temp",NA,933532,929552,NA
"temp",13,900181,917312,14
"temp",NA,900404,911930,NA
"temp",-2,900854,930561,13
"temp",13,901217,929756,8
"temp",14,901557,915529,-2
"temp",13,902370,904854,8
"temp",NA,903598,929460,NA
"temp",NA,903994,904386,NA
"temp",-2,904106,928820,3
"temp",-2,904669,902871,9
"temp",-2,904931,915643,NA
"temp",8,905816,924554,13
"temp",8,905949,913606,14
"temp",13,907287,900853,7
"temp",9,907661,916684,7
"temp",13,908211,907872,-2
"temp",12,908298,921011,-2
"temp",13,908411,911736,13
"temp",-2,908604,900244,12
"temp",4,909192,914548,12
"temp",14,909916,913005,-2
"temp",-2,911288,916602,13
"temp",-3,911368,919985,13
"temp",-2,911661,917742,-2
"temp",13,913812,921947,-2
"temp",12,914200,915501,11
"temp",2,915478,912878,14
"temp",NA,915703,908370,NA
"temp",8,915982,905622,-2
"temp",9,917195,918111,14
"temp",-2,918257,919010,-2
"temp",-2,918899,906815,13
"temp",8,919429,926428,13
"temp",14,919806,901793,13
"temp",9,920202,911652,14
"temp",13,922324,924990,-2
"temp",14,922423,931333,12
"temp",13,922616,908076,13
"temp",7,922630,906911,8
"temp",14,922785,933878,13
"temp",7,923129,906265,14
"temp",-2,923356,917434,9
"temp",13,924262,900614,12
"temp",11,924955,923483,8
"temp",8,925843,906125,12
"temp",-2,926402,912546,-2
"temp",8,926988,932071,11
"temp",-2,927411,910342,9
"temp",NA,927589,901501,NA
"temp",10,928335,915185,14
"temp",9,929353,929593,12
"temp",-2,929441,926772,-2
"temp",8,930392,924915,13
"temp",-2,930657,908208,13
"temp",12,930841,908923,-3
"temp",-2,931082,922009,13
"temp",13,931454,923626,8
"temp",13,932576,919766,14
"temp",NA,933248,907285,NA
"temp",NA,900633,924051,NA
"temp",13,900764,931267,8
"temp",NA,901452,919722,NA
"temp",14,901483,929724,13
"temp",8,901670,930328,-2
"temp",9,901720,901128,-2
"temp",13,902252,929572,13
"temp",-2,902291,922263,14
"temp",13,902538,902663,12
"temp",13,903130,916604,13
"temp",13,904102,908462,12
"temp",13,904886,910475,12
"temp",-2,905132,904157,14
"temp",-2,905430,933318,8
